# Characters restricted in domain names
# $Revision: 1.32 $
# $Date: 2010-06-19 00:29:21 $
#
# This file contains a draft list of characters for use in
#     UTR #36: Unicode Security Considerations
#     http://unicode.org/draft/reports/tr36/tr36.html
# According to the recommendations in that document, these characters
# would be restricted in domain names: people would only be able to use them
# by using lenient security settings.
#
# If you have any feedback on this list, please use the submission form at:
#     http://unicode.org/reporting.html.
#
# Notes:
# - Characters are listed along with a reason for their removal.
# - Characters listed as ~IDNA are excluded at this point in domain names,
#   in many cases because the international domain name specification does not contain
#   characters beyond Unicode 3.2. At this point in time, feedback on those characters
#   is not relevant.
# - Characters listed as ~Unicode Identifiers are restricted because they
#   do not fit the specification of identifiers given in
#      UAX #31: Identifier and Pattern Syntax
#      http://unicode.org/reports/tr31/
# - Characters listed as ~IICore are restricted because they are Ideographic,
#   but not part of the IICore set defined by the IRG as the minimal set
#   of required ideographs for East Asian use.
# - The files in this directory are 'live', and may change at any time.
#   Please include the above Revision number in your feedback.

0119          ; allowed ; recommended #      (ę)  LATIN SMALL LETTER E WITH OGONEK
011A          ; allowed ; recommended #      (Ě)  LATIN CAPITAL LETTER E WITH CARON
011B          ; allowed ; recommended #      (ě)  LATIN SMALL LETTER E WITH CARON
011C          ; allowed ; recommended #      (Ĝ)  LATIN CAPITAL LETTER G WITH CIRCUMFLEX
011D          ; allowed ; recommended #      (ĝ)  LATIN SMALL LETTER G WITH CIRCUMFLEX
011E          ; allowed ; recommended #      (Ğ)  LATIN CAPITAL LETTER G WITH BREVE
011F          ; allowed ; recommended #      (ğ)  LATIN SMALL LETTER G WITH BREVE
0120          ; allowed ; recommended #      (Ġ)  LATIN CAPITAL LETTER G WITH DOT ABOVE
0121          ; allowed ; recommended #      (ġ)  LATIN SMALL LETTER G WITH DOT ABOVE
0122          ; allowed ; recommended #      (Ģ)  LATIN CAPITAL LETTER G WITH CEDILLA
0123          ; allowed ; recommended #      (ģ)  LATIN SMALL LETTER G WITH CEDILLA
0124          ; allowed ; recommended #      (Ĥ)  LATIN CAPITAL LETTER H WITH CIRCUMFLEX
0125          ; allowed ; recommended #      (ĥ)  LATIN SMALL LETTER H WITH CIRCUMFLEX
0126          ; allowed ; recommended #      (Ħ)  LATIN CAPITAL LETTER H WITH STROKE
0127          ; allowed ; recommended #      (ħ)  LATIN SMALL LETTER H WITH STROKE
0128          ; allowed ; recommended #      (Ĩ)  LATIN CAPITAL LETTER I WITH TILDE
0129          ; allowed ; recommended #      (ĩ)  LATIN SMALL LETTER I WITH TILDE
012A          ; allowed ; recommended #      (Ī)  LATIN CAPITAL LETTER I WITH MACRON
012B          ; allowed ; recommended #      (ī)  LATIN SMALL LETTER I WITH MACRON
012C          ; allowed ; recommended #      (Ĭ)  LATIN CAPITAL LETTER I WITH BREVE
012D          ; allowed ; recommended #      (ĭ)  LATIN SMALL LETTER I WITH BREVE
012E          ; allowed ; recommended #      (Į)  LATIN CAPITAL LETTER I WITH OGONEK
012F          ; allowed ; recommended #      (į)  LATIN SMALL LETTER I WITH OGONEK
0130          ; allowed ; recommended #      (İ)  LATIN CAPITAL LETTER I WITH DOT ABOVE
0131          ; allowed ; recommended #      (ı)  LATIN SMALL LETTER DOTLESS I
0134          ; allowed ; recommended #      (Ĵ)  LATIN CAPITAL LETTER J WITH CIRCUMFLEX
0135          ; allowed ; recommended #      (ĵ)  LATIN SMALL LETTER J WITH CIRCUMFLEX
0136          ; allowed ; recommended #      (Ķ)  LATIN CAPITAL LETTER K WITH CEDILLA
0137          ; allowed ; recommended #      (ķ)  LATIN SMALL LETTER K WITH CEDILLA
0138          ; allowed ; recommended #      (ĸ)  LATIN SMALL LETTER KRA
0139          ; allowed ; recommended #      (Ĺ)  LATIN CAPITAL LETTER L WITH ACUTE
013A          ; allowed ; recommended #      (ĺ)  LATIN SMALL LETTER L WITH ACUTE
013B          ; allowed ; recommended #      (Ļ)  LATIN CAPITAL LETTER L WITH CEDILLA
013C          ; allowed ; recommended #      (ļ)  LATIN SMALL LETTER L WITH CEDILLA
013D          ; allowed ; recommended #      (Ľ)  LATIN CAPITAL LETTER L WITH CARON
013E          ; allowed ; recommended #      (ľ)  LATIN SMALL LETTER L WITH CARON
0141          ; allowed ; recommended #      (Ł)  LATIN CAPITAL LETTER L WITH STROKE
0142          ; allowed ; recommended #      (ł)  LATIN SMALL LETTER L WITH STROKE
0143          ; allowed ; recommended #      (Ń)  LATIN CAPITAL LETTER N WITH ACUTE
0144          ; allowed ; recommended #      (ń)  LATIN SMALL LETTER N WITH ACUTE
0145          ; allowed ; recommended #      (Ņ)  LATIN CAPITAL LETTER N WITH CEDILLA
0146          ; allowed ; recommended #      (ņ)  LATIN SMALL LETTER N WITH CEDILLA
0147          ; allowed ; recommended #      (Ň)  LATIN CAPITAL LETTER N WITH CARON
0148          ; allowed ; recommended #      (ň)  LATIN SMALL LETTER N WITH CARON
014A          ; allowed ; recommended #      (Ŋ)  LATIN CAPITAL LETTER ENG
014B          ; allowed ; recommended #      (ŋ)  LATIN SMALL LETTER ENG
014C          ; allowed ; recommended #      (Ō)  LATIN CAPITAL LETTER O WITH MACRON
014D          ; allowed ; recommended #      (ō)  LATIN SMALL LETTER O WITH MACRON
014E          ; allowed ; recommended #      (Ŏ)  LATIN CAPITAL LETTER O WITH BREVE
014F          ; allowed ; recommended #      (ŏ)  LATIN SMALL LETTER O WITH BREVE
0150          ; allowed ; recommended #      (Ő)  LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
0151          ; allowed ; recommended #      (ő)  LATIN SMALL LETTER O WITH DOUBLE ACUTE
0152          ; allowed ; recommended #      (Œ)  LATIN CAPITAL LIGATURE OE
0153          ; allowed ; recommended #      (œ)  LATIN SMALL LIGATURE OE
0154          ; allowed ; recommended #      (Ŕ)  LATIN CAPITAL LETTER R WITH ACUTE
