#Code	Version	Default	Labels	Char	Names
U+26C3	V5.1	text	games	⛃	BLACK DRAUGHTS KING
U+2B1B	V5.1	emoji		⬛	BLACK LARGE SQUARE
U+2B1C	V5.1	emoji		⬜	WHITE LARGE SQUARE
U+2B50	V5.1	emoji		⭐	WHITE MEDIUM STAR
U+1F004	V5.1	emoji	games	🀄	MAHJONG TILE RED DRAGON
U+26BD	V5.2	emoji		⚽	SOCCER BALL
U+26BE	V5.2	emoji	sports	⚾	BASEBALL
U+26BF	V5.2	text		⚿	SQUARED KEY
U+26C4	V5.2	emoji	weather	⛄	SNOWMAN WITHOUT SNOW
U+26C5	V5.2	emoji	weather	⛅	SUN BEHIND CLOUD
U+26C6	V5.2	text	weather	⛆	RAIN
U+26C7	V5.2	text	weather	⛇	BLACK SNOWMAN
U+26C8	V5.2	text	weather	⛈	THUNDER CLOUD AND RAIN
U+26C9	V5.2	text	games	⛉	TURNED WHITE SHOGI PIECE
U+26CA	V5.2	text	games	⛊	TURNED BLACK SHOGI PIECE
U+26CC	V5.2	text		⛌	CROSSING LANES
U+26CD	V5.2	text		⛍	DISABLED CAR
U+26CF	V5.2	text		⛏	PICK
U+26D0	V5.2	text		⛐	CAR SLIDING
U+26D1	V5.2	text		⛑	HELMET WITH WHITE CROSS
U+26D2	V5.2	text		⛒	CIRCLED CROSSING LANES
U+26D3	V5.2	text		⛓	CHAINS
U+26D4	V5.2	emoji		⛔	NO ENTRY
U+26D5	V5.2	text		⛕	ALTERNATE ONE-WAY LEFT WAY TRAFFIC
U+26D6	V5.2	text		⛖	BLACK TWO-WAY LEFT WAY TRAFFIC
U+26D7	V5.2	text		⛗	WHITE TWO-WAY LEFT WAY TRAFFIC
U+26D8	V5.2	text		⛘	BLACK LEFT LANE MERGE
U+26D9	V5.2	text		⛙	WHITE LEFT LANE MERGE
U+26DC	V5.2	text		⛜	LEFT CLOSED ENTRY
U+26DF	V5.2	text		⛟	BLACK TRUCK
U+26E8	V5.2	text		⛨	BLACK CROSS ON SHIELD
U+26E9	V5.2	text		⛩	SHINTO SHRINE
U+26EA	V5.2	emoji		⛪	CHURCH
U+26EB	V5.2	text		⛫	CASTLE
U+26EC	V5.2	text		⛬	HISTORIC SITE
U+26ED	V5.2	text		⛭	GEAR WITHOUT HUB
U+26EE	V5.2	text		⛮	GEAR WITH HANDLES
U+26EF	V5.2	text		⛯	MAP SYMBOL FOR LIGHTHOUSE
U+26F0	V5.2	text	nature	⛰	MOUNTAIN
U+26F1	V5.2	text	weather	⛱	UMBRELLA ON GROUND
U+26F2	V5.2	emoji		⛲	FOUNTAIN
U+26F3	V5.2	emoji	sports flags	⛳	FLAG IN HOLE
U+26F4	V5.2	text	transport	⛴	FERRY
U+26F5	V5.2	emoji	transport	⛵	SAILBOAT
U+26F7	V5.2	emoji	sports	⛷	SKIER
U+26F8	V5.2	emoji	sports	⛸	ICE SKATE
U+26F9	V5.2	emoji	sports	⛹	PERSON WITH BALL
U+26FA	V5.2	emoji		⛺	TENT
U+26FC	V5.2	text		⛼	HEADSTONE GRAVEYARD SYMBOL
