% compkeys-2.1.9d8.txt
% Created: 2000-Apr-18
% Posted:  2000-Apr-18
% Derived from: unidata-2.1.9d8.txt
% Sifter version: 2.1.9d7, 2000-Jan-11

@version 2.1.9d8

2037 ; [*0276.0020.0004.2037] [*0276.0020.0004.2037] [*0276.0020.0004.2037] # REVERSED TRIPLE PRIME; COMPATSEQ
2103 ; [*02B5.0020.0004.2103] [.06EB.0020.000A.2103] # DEGREE CELSIUS; COMPATSEQ
2109 ; [*02B5.0020.0004.2109] [.073F.0020.000A.2109] # DEGREE FAHRENHEIT; COMPATSEQ
222C ; [*035B.0020.0004.222C] [*035B.0020.0004.222C] # DOUBLE INTEGRAL; COMPATSEQ
222D ; [*035B.0020.0004.222D] [*035B.0020.0004.222D] [*035B.0020.0004.222D] # TRIPLE INTEGRAL; COMPATSEQ
222F ; [*035C.0020.0004.222F] [*035C.0020.0004.222F] # SURFACE INTEGRAL; COMPATSEQ
2230 ; [*035C.0020.0004.2230] [*035C.0020.0004.2230] [*035C.0020.0004.2230] # VOLUME INTEGRAL; COMPATSEQ
3358 ; [.06B9.0020.0004.3358] [.70B9.0020.0004.3358] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR ZERO; COMPATSEQ
2488 ; [.06BA.0020.0004.2488] [*0227.0020.0004.2488] # DIGIT ONE FULL STOP; COMPATSEQ
2491 ; [.06BA.0020.0004.2491] [.06B9.0020.0004.2491] [*0227.0020.0004.2491] # NUMBER TEN FULL STOP; COMPATSEQ
2492 ; [.06BA.0020.0004.2492] [.06BA.0020.0004.2492] [*0227.0020.0004.2492] # NUMBER ELEVEN FULL STOP; COMPATSEQ
2493 ; [.06BA.0020.0004.2493] [.06BB.0020.0004.2493] [*0227.0020.0004.2493] # NUMBER TWELVE FULL STOP; COMPATSEQ
2494 ; [.06BA.0020.0004.2494] [.06BC.0020.0004.2494] [*0227.0020.0004.2494] # NUMBER THIRTEEN FULL STOP; COMPATSEQ
2495 ; [.06BA.0020.0004.2495] [.06BD.0020.0004.2495] [*0227.0020.0004.2495] # NUMBER FOURTEEN FULL STOP; COMPATSEQ
2496 ; [.06BA.0020.0004.2496] [.06BE.0020.0004.2496] [*0227.0020.0004.2496] # NUMBER FIFTEEN FULL STOP; COMPATSEQ
2497 ; [.06BA.0020.0004.2497] [.06BF.0020.0004.2497] [*0227.0020.0004.2497] # NUMBER SIXTEEN FULL STOP; COMPATSEQ
2498 ; [.06BA.0020.0004.2498] [.06C0.0020.0004.2498] [*0227.0020.0004.2498] # NUMBER SEVENTEEN FULL STOP; COMPATSEQ
2499 ; [.06BA.0020.0004.2499] [.06C1.0020.0004.2499] [*0227.0020.0004.2499] # NUMBER EIGHTEEN FULL STOP; COMPATSEQ
249A ; [.06BA.0020.0004.249A] [.06C2.0020.0004.249A] [*0227.0020.0004.249A] # NUMBER NINETEEN FULL STOP; COMPATSEQ
32C0 ; [.06BA.0020.0004.32C0] [.6708.0020.0004.32C0] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR JANUARY; COMPATSEQ
32C9 ; [.06BA.0020.0004.32C9] [.06B9.0020.0004.32C9] [.6708.0020.0004.32C9] # IDEOGRAPHIC TELEGRAPH SYMBOL FOR OCTOBER; COMPATSEQ
