593A	duó(197)
593E	jiā(95) jiá(23)
5947	qí(345)
5948	nài(22)
5949	fèng(25)
594B	fèn(281)
594F	zòu(26)
5954	bēn(135) bèn(19)
5956	jiǎng(69)
5957	tào(227)
5960	diàn(26)
596A	duó(197)
596E	fèn(281)
5973	nǚ(1129) nü(37)
5974	nú(73)
5976	nǎi(234) nai(167)
5978	jiān(20)
5979	tā(4477)
597D	hǎo(6060) hāo(142) hào(115)
5982	rú(2323)
5984	wàng(48)
5987	fù(321) fu(28)
5988	mā(1288) ma(719)
5999	miào(81)
59A5	tuǒ(53)
59A8	fáng(22) fāng(13)
59B9	mèi(158) mei(100)
59BB	qī(69)
59C6	mǔ(16)
59CA	zǐ(10)
59CB	shǐ(606)
59D0	jie(237) jiě(180)
59D1	gū(433) gu(24)
59D3	xìng(232)
59D4	wěi(668)
59DC	jiāng(13)
59E8	yí(55)
59FB	yīn(21)
59FF	zī(48)
5A01	wēi(188)
5A03	wá(44) wa(44)
5A07	jiāo(12)
5A18	niang(362) niáng(279)
5A1B	yú(15)
5A31	yú(15)
5A36	qǔ(40)
5A46	pó(76) po(66)
5A5A	hūn(89)
5A66	fù(321) fu(28)
5A74	yīng(35)
5A76	shěn(172) shen(66)
5AB3	xí(52)
5ABD	mā(1288) ma(719)
5AC1	jià(54)
5AC2	sǎo(320) sao(14)
5ACC	xián(37)
5AE9	nèn(26)
5B0C	jiāo(12)
5B30	yīng(35)
5B38	shěn(172) shen(66)
5B50	zi(6853) zǐ(1114)
5B54	kǒng(180)
5B57	zì(676) zi(138)
5B58	cún(460)
5B59	sūn(19)
5B63	jì(238)
5B64	gū(54)
5B66	xué(5640)
5B69	hái(1235)
5B6B	sūn(19)
5B75	fū(21)
5B78	xué(5640)
5B81	níng(13) nìng(9)
5B83	tā(2984)
5B85	zhái(61)
5B87	yǔ(144)
5B88	shǒu(218)
5B89	ān(596)
5B8C	wán(1502)
5B8F	hóng(31)
5B97	zōng(49) zong(18)
5B98	guān(276)
5B99	zhòu(130)
5B9A	dìng(2655)
5B9C	yi(58) yí(38)
5B9D	bǎo(270)
5B9E	shí(2729) shi(200)
5BA1	shěn(58)
5BA2	kè(569)
5BA3	xuān(296)
5BA4	shì(434)
5BAA	xiàn(56)
5BAB	gōng(73)
5BAE	gōng(73)
5BB0	zǎi(13)
5BB3	hài(553) hai(107)
5BB4	yàn(34)
5BB5	xiāo(34)
5BB6	jiā(4719) jia(461)
5BB9	róng(822)
5BBD	kuān(185)
5BBE	bīn(9)
5BBF	sù(60) xiǔ(15)
5BC2	jì(64)
5BC4	jì(101)
5BC6	mì(481)
5BC7	kòu(19)
5BCC	fù(314)
5BD2	hán(145)
5BD3	yù(11)
5BDE	mò(35)
5BDF	chá(288)
5BE1	guǎ(28)
5BE6	shí(2729) shi(200)
5BE7	níng(13) nìng(9)
5BE9	shěn(58)
5BEB	xiě(1171)
5BEC	kuān(185)
5BF6	bǎo(270)
5BF8	cùn(63) cun(29)
5BF9	duì(5013)
5BFB	xún(127) xín(14)
5BFC	dǎo(1403)
5BFF	shòu(20)
5C01	fēng(400)
5C04	shè(315)
5C06..5C07	jiāng(1194) jiàng(42)
5C08	zhuān(602)
5C0A	zūn(122)
5C0B	xún(127) xín(14)
5C0D	duì(5013)
5C0E	dǎo(1403)
5C0F	xiǎo(5435)
5C11	shǎo(1187) shao(362) shào(323)
5C14	ěr(26)
5C16	jiān(168)
5C18	chén(81)
5C1A	shàng(64) shang(20)
5C1D	cháng(38)
5C24	yóu(110)
5C31	jiù(11223)
5C38	shī(14)
5C3A	chǐ(124)
5C3D	jǐn(212) jìn(166)
5C3E	wěi(169)
5C3F	niào(16)
5C40	jú(505)
5C41	pì(48)
5C42	céng(488)
5C45	jū(184)
5C46	jiè(70)
5C48	qū(37) qu(27)
5C49	ti(17)
5C4A	jiè(70)
5C4B	wū(774)
5C4E	shǐ(14)
5C4F	píng(10)
