# From state ; class name or eot ; to state
START ; CM ; CM
IDmEastAsianmExtPictUnassigned ZWJ ; VI ; EXmEastAsian
IDmEastAsianmExtPictUnassigned ZWJ ; AS ; AK
IDmEastAsianmExtPictUnassigned ZWJ ; IDmEastAsianmExtPictUnassigned ; IDmEastAsianmExtPictUnassigned
IDmEastAsianmExtPictUnassigned ZWJ ; VF ; EXmEastAsian
IDmEastAsianmExtPictUnassigned ZWJ ; ZW ; ZW
IDmEastAsianmExtPictUnassigned ZWJ ; ZWJ ; IDmEastAsianmExtPictUnassigned ZWJ
IDmEastAsianmExtPictUnassigned ZWJ ; B2 ; B2
IDmEastAsianmExtPictUnassigned ZWJ ; INmEastAsian ; EXmEastAsian
IDmEastAsianmExtPictUnassigned ZWJ ; WJ ; WJ
IDmEastAsianmExtPictUnassigned ZWJ ; PR_EastAsian ; PR_EastAsian
IDmEastAsianmExtPictUnassigned ZWJ ; ID_EastAsian ; ID_EastAsian
IDmEastAsianmExtPictUnassigned ZWJ ; OP_EastAsian ; OP_EastAsian
IDmEastAsianmExtPictUnassigned ZWJ ; CL_EastAsian ; CL_EastAsian
IDmEastAsianmExtPictUnassigned ZWJ ; AI_EastAsian|AL_EastAsian ; AL_EastAsian
IDmEastAsianmExtPictUnassigned ZWJ ; AL_DottedCircle ; AL_DottedCircle
IDmEastAsianmExtPictUnassigned ZWJ ; EBmEastAsian ; EBmEastAsian
IDmEastAsianmExtPictUnassigned ZWJ ; EB_EastAsian ; EB_EastAsian
IDmEastAsianmExtPictUnassigned ZWJ ; BA_EastAsian ; BA_EastAsian
IDmEastAsianmExtPictUnassigned ZWJ ; NS_EastAsian|CJ ; CJ
IDmEastAsianmExtPictUnassigned ZWJ ; H2 ; H2
IDmEastAsianmExtPictUnassigned ZWJ ; H3 ; H3
IDmEastAsianmExtPictUnassigned ZWJ ; EX_EastAsian ; CJ
IDmEastAsianmExtPictUnassigned ZWJ ; IN_EastAsian ; CJ
IDmEastAsianmExtPictUnassigned ZWJ ; PO_EastAsian ; PO_EastAsian
IDmEastAsianmExtPictUnassigned ZWJ ; CB ; CB
IDmEastAsianmExtPictUnassigned ZWJ ; AP ; AP
IDmEastAsianmExtPictUnassigned ZWJ ; GL_EastAsian ; GL_EastAsian
IDmEastAsianmExtPictUnassigned ZWJ ; ID_ExtPictUnassigned ; ID_ExtPictUnassigned
IDmEastAsianmExtPictUnassigned ZWJ ; RI ; RI
IDmEastAsianmExtPictUnassigned ZWJ ; EM ; ID_EastAsian
IDmEastAsianmExtPictUnassigned ZWJ ; XX_ExtPictUnassigned ; XX_ExtPictUnassigned
IDmEastAsianmExtPictUnassigned ZWJ ; SAmMnmMc ; ALmEastAsianmDottedCircle
IDmEastAsianmExtPictUnassigned ZWJ ; SA_Mn|SA_Mc ; IDmEastAsianmExtPictUnassigned CM
ZW SP ; CM ; ZW CM
ZW SP ; BAmEastAsian ; ZW CM
ZW SP ; LF ; LF
ZW SP ; BK|NL ; LF
ZW SP ; CR ; CR
ZW SP ; SP ; ZW SP
ZW SP ; EXmEastAsian ; ZW SP EXmEastAsian
ZW SP ; QUmPimPf ; ZW CM
ZW SP ; AImEastAsian|ALmEastAsianmDottedCircle|SG|XXmExtPictUnassigned ; ZW CM
ZW SP ; PRmEastAsian ; ZW CM
ZW SP ; POmEastAsian ; ZW CM
ZW SP ; OPmEastAsian ; ZW CM
ZW SP ; CP ; ZW SP CP
ZW SP ; IS ; ZW SP IS
ZW SP ; HY ; ZW CM
ZW SP ; SY ; ZW SP SY
ZW SP ; NU ; ZW CM
ZW SP ; CLmEastAsian ; ZW SP CLmEastAsian
ZW SP ; GLmEastAsian ; ZW CM
ZW SP ; QU_Pi ; ZW CM
ZW SP ; BB ; ZW CM
ZW SP ; QU_Pf ; ZW SP QU_Pf
ZW SP ; HH ; ZW CM
ZW SP ; HL ; ZW CM
ZW SP ; JL ; ZW CM
ZW SP ; JV ; ZW CM
ZW SP ; JT ; ZW CM
ZW SP ; NSmEastAsian ; ZW CM
ZW SP ; AK ; ZW CM
ZW SP ; VI ; ZW CM
ZW SP ; AS ; ZW CM
ZW SP ; IDmEastAsianmExtPictUnassigned ; ZW CM
ZW SP ; VF ; ZW CM
ZW SP ; ZW ; ZW
ZW SP ; ZWJ ; ZW CM
ZW SP ; B2 ; ZW CM
ZW SP ; INmEastAsian ; ZW CM
ZW SP ; WJ ; ZW SP WJ
ZW SP ; PR_EastAsian ; ZW CM
ZW SP ; ID_EastAsian ; ZW CM
ZW SP ; OP_EastAsian ; ZW CM
ZW SP ; CL_EastAsian ; ZW SP CL_EastAsian
ZW SP ; AI_EastAsian|AL_EastAsian ; ZW CM
ZW SP ; AL_DottedCircle ; ZW CM
ZW SP ; EBmEastAsian ; ZW CM
ZW SP ; EB_EastAsian ; ZW CM
ZW SP ; BA_EastAsian ; ZW CM
ZW SP ; NS_EastAsian|CJ ; ZW CM
ZW SP ; H2 ; ZW CM
ZW SP ; H3 ; ZW CM
ZW SP ; EX_EastAsian ; ZW SP EX_EastAsian
ZW SP ; IN_EastAsian ; ZW CM
ZW SP ; PO_EastAsian ; ZW CM
ZW SP ; CB ; ZW CM
ZW SP ; AP ; ZW CM
ZW SP ; GL_EastAsian ; ZW CM
ZW SP ; ID_ExtPictUnassigned ; ZW CM
ZW SP ; RI ; ZW CM
ZW SP ; EM ; ZW CM
ZW SP ; XX_ExtPictUnassigned ; ZW CM
ZW SP ; SAmMnmMc ; ZW CM
ZW SP ; SA_Mn|SA_Mc ; ZW CM
B2 CM ; CM ; B2 CM
B2 CM ; BAmEastAsian ; BAmEastAsian
B2 CM ; LF ; LF
B2 CM ; BK|NL ; LF
B2 CM ; CR ; CR
B2 CM ; SP ; B2 SP
B2 CM ; EXmEastAsian ; EXmEastAsian
B2 CM ; QUmPimPf ; QUmPimPf
B2 CM ; CP ; CP
B2 CM ; IS ; IS
B2 CM ; HY ; CM HY
B2 CM ; SY ; SY
B2 CM ; CLmEastAsian ; CLmEastAsian
B2 CM ; GLmEastAsian ; GLmEastAsian
B2 CM ; QU_Pi ; QUmPimPf
B2 CM ; QU_Pf ; BAmEastAsian CM QU_Pf
B2 CM ; HH ; BAmEastAsian
B2 CM ; NSmEastAsian ; EXmEastAsian
B2 CM ; ZW ; ZW
B2 CM ; ZWJ ; B2 ZWJ
B2 CM ; B2 ; B2
B2 CM ; INmEastAsian ; EXmEastAsian
B2 CM ; WJ ; WJ
B2 CM ; CL_EastAsian ; CL_EastAsian
B2 CM ; BA_EastAsian ; BA_EastAsian
B2 CM ; NS_EastAsian|CJ ; CJ
B2 CM ; EX_EastAsian ; CJ
B2 CM ; IN_EastAsian ; CJ
B2 CM ; GL_EastAsian ; GL_EastAsian
B2 CM ; SA_Mn|SA_Mc ; B2 CM
B2 SP ; LF ; LF
B2 SP ; BK|NL ; LF
B2 SP ; CR ; CR
B2 SP ; SP ; B2 SP
B2 SP ; EXmEastAsian ; EXmEastAsian
B2 SP ; CP ; CP
B2 SP ; IS ; SP IS
B2 SP ; SY ; SY
B2 SP ; CLmEastAsian ; CLmEastAsian
B2 SP ; QU_Pf ; SP QU_Pf
B2 SP ; ZW ; ZW
B2 SP ; B2 ; B2
B2 SP ; WJ ; WJ
B2 SP ; CL_EastAsian ; CL_EastAsian
B2 SP ; EX_EastAsian ; CJ
B2 ZWJ ; CM ; B2 CM
B2 ZWJ ; BAmEastAsian ; BAmEastAsian
B2 ZWJ ; LF ; LF
B2 ZWJ ; BK|NL ; LF
B2 ZWJ ; CR ; CR
B2 ZWJ ; SP ; B2 SP
B2 ZWJ ; EXmEastAsian ; EXmEastAsian
B2 ZWJ ; QUmPimPf ; QUmPimPf
B2 ZWJ ; AImEastAsian|ALmEastAsianmDottedCircle|SG|XXmExtPictUnassigned ; ALmEastAsianmDottedCircle
B2 ZWJ ; PRmEastAsian ; PRmEastAsian
B2 ZWJ ; POmEastAsian ; POmEastAsian
B2 ZWJ ; OPmEastAsian ; OPmEastAsian
B2 ZWJ ; CP ; CP
B2 ZWJ ; IS ; IS
B2 ZWJ ; HY ; CM HY
B2 ZWJ ; SY ; SY
B2 ZWJ ; NU ; NU
B2 ZWJ ; CLmEastAsian ; CLmEastAsian
B2 ZWJ ; GLmEastAsian ; GLmEastAsian
B2 ZWJ ; QU_Pi ; QUmPimPf
B2 ZWJ ; BB ; BB
B2 ZWJ ; QU_Pf ; BAmEastAsian CM QU_Pf
B2 ZWJ ; HH ; BAmEastAsian
B2 ZWJ ; HL ; HL
B2 ZWJ ; JL ; JL
B2 ZWJ ; JV ; JV
B2 ZWJ ; JT ; JT
B2 ZWJ ; NSmEastAsian ; EXmEastAsian
B2 ZWJ ; AK ; AK
B2 ZWJ ; VI ; EXmEastAsian
B2 ZWJ ; AS ; AK
B2 ZWJ ; IDmEastAsianmExtPictUnassigned ; IDmEastAsianmExtPictUnassigned
B2 ZWJ ; VF ; EXmEastAsian
B2 ZWJ ; ZW ; ZW
B2 ZWJ ; ZWJ ; B2 ZWJ
B2 ZWJ ; B2 ; B2
B2 ZWJ ; INmEastAsian ; EXmEastAsian
B2 ZWJ ; WJ ; WJ
B2 ZWJ ; PR_EastAsian ; PR_EastAsian
B2 ZWJ ; ID_EastAsian ; ID_EastAsian
B2 ZWJ ; OP_EastAsian ; OP_EastAsian
B2 ZWJ ; CL_EastAsian ; CL_EastAsian
B2 ZWJ ; AI_EastAsian|AL_EastAsian ; AL_EastAsian
B2 ZWJ ; AL_DottedCircle ; AL_DottedCircle
B2 ZWJ ; EBmEastAsian ; EBmEastAsian
B2 ZWJ ; EB_EastAsian ; EB_EastAsian
B2 ZWJ ; BA_EastAsian ; BA_EastAsian
B2 ZWJ ; NS_EastAsian|CJ ; CJ
B2 ZWJ ; H2 ; H2
B2 ZWJ ; H3 ; H3
B2 ZWJ ; EX_EastAsian ; CJ
B2 ZWJ ; IN_EastAsian ; CJ
B2 ZWJ ; PO_EastAsian ; PO_EastAsian
B2 ZWJ ; CB ; CB
B2 ZWJ ; AP ; AP
B2 ZWJ ; GL_EastAsian ; GL_EastAsian
B2 ZWJ ; ID_ExtPictUnassigned ; ID_ExtPictUnassigned
B2 ZWJ ; RI ; RI
B2 ZWJ ; EM ; ID_EastAsian
B2 ZWJ ; XX_ExtPictUnassigned ; XX_ExtPictUnassigned
B2 ZWJ ; SAmMnmMc ; ALmEastAsianmDottedCircle
B2 ZWJ ; SA_Mn|SA_Mc ; B2 CM
WJ CM ; CM ; WJ CM
WJ CM ; BAmEastAsian ; BAmEastAsian
WJ CM ; LF ; LF
WJ CM ; BK|NL ; LF
WJ CM ; CR ; CR
WJ CM ; SP ; SP
WJ CM ; EXmEastAsian ; EXmEastAsian
WJ CM ; QUmPimPf ; QUmPimPf
WJ CM ; AImEastAsian|ALmEastAsianmDottedCircle|SG|XXmExtPictUnassigned ; ALmEastAsianmDottedCircle
WJ CM ; PRmEastAsian ; PRmEastAsian
WJ CM ; POmEastAsian ; POmEastAsian
WJ CM ; OPmEastAsian ; OPmEastAsian
WJ CM ; CP ; CP
WJ CM ; IS ; IS
WJ CM ; HY ; CM HY
WJ CM ; SY ; SY
WJ CM ; NU ; NU
WJ CM ; CLmEastAsian ; CLmEastAsian
WJ CM ; GLmEastAsian ; GLmEastAsian
WJ CM ; QU_Pi ; QUmPimPf
WJ CM ; BB ; BB
WJ CM ; QU_Pf ; BAmEastAsian CM QU_Pf
WJ CM ; HH ; BAmEastAsian
WJ CM ; HL ; HL
WJ CM ; JL ; JL
WJ CM ; JV ; JV
WJ CM ; JT ; JT
WJ CM ; NSmEastAsian ; EXmEastAsian
WJ CM ; AK ; AK
WJ CM ; VI ; EXmEastAsian
WJ CM ; AS ; AK
WJ CM ; IDmEastAsianmExtPictUnassigned ; IDmEastAsianmExtPictUnassigned
WJ CM ; VF ; EXmEastAsian
WJ CM ; ZW ; ZW
WJ CM ; ZWJ ; WJ CM
WJ CM ; B2 ; B2
WJ CM ; INmEastAsian ; EXmEastAsian
WJ CM ; WJ ; WJ
WJ CM ; PR_EastAsian ; PR_EastAsian
WJ CM ; ID_EastAsian ; ID_EastAsian
WJ CM ; OP_EastAsian ; OP_EastAsian
WJ CM ; CL_EastAsian ; CL_EastAsian
WJ CM ; AI_EastAsian|AL_EastAsian ; AL_EastAsian
WJ CM ; AL_DottedCircle ; AL_DottedCircle
WJ CM ; EBmEastAsian ; EBmEastAsian
WJ CM ; EB_EastAsian ; EB_EastAsian
WJ CM ; BA_EastAsian ; BA_EastAsian
WJ CM ; NS_EastAsian|CJ ; CJ
WJ CM ; H2 ; H2
WJ CM ; H3 ; H3
WJ CM ; EX_EastAsian ; CJ
WJ CM ; IN_EastAsian ; CJ
WJ CM ; PO_EastAsian ; PO_EastAsian
WJ CM ; CB ; CB
WJ CM ; AP ; AP
WJ CM ; GL_EastAsian ; GL_EastAsian
WJ CM ; ID_ExtPictUnassigned ; ID_ExtPictUnassigned
WJ CM ; RI ; RI
WJ CM ; EM ; ID_EastAsian
WJ CM ; XX_ExtPictUnassigned ; XX_ExtPictUnassigned
WJ CM ; SAmMnmMc ; ALmEastAsianmDottedCircle
WJ CM ; SA_Mn|SA_Mc ; WJ CM
PR_EastAsian CM ; CM ; PR_EastAsian CM
PR_EastAsian CM ; BAmEastAsian ; BAmEastAsian
PR_EastAsian CM ; LF ; LF
PR_EastAsian CM ; BK|NL ; LF
PR_EastAsian CM ; CR ; CR
PR_EastAsian CM ; SP ; SP
PR_EastAsian CM ; EXmEastAsian ; EXmEastAsian
PR_EastAsian CM ; QUmPimPf ; QUmPimPf
PR_EastAsian CM ; AImEastAsian|ALmEastAsianmDottedCircle|SG|XXmExtPictUnassigned ; ALmEastAsianmDottedCircle
PR_EastAsian CM ; OPmEastAsian ; PRmEastAsian OPmEastAsian
PR_EastAsian CM ; CP ; CP
PR_EastAsian CM ; IS ; IS
PR_EastAsian CM ; HY ; CM HY
PR_EastAsian CM ; SY ; SY
PR_EastAsian CM ; NU ; NU
PR_EastAsian CM ; CLmEastAsian ; CLmEastAsian
PR_EastAsian CM ; GLmEastAsian ; GLmEastAsian
PR_EastAsian CM ; QU_Pi ; JL CM QU_Pi
PR_EastAsian CM ; QU_Pf ; JL CM QU_Pf
PR_EastAsian CM ; HH ; BAmEastAsian
PR_EastAsian CM ; HL ; HL
PR_EastAsian CM ; JL ; JL
PR_EastAsian CM ; JV ; JV
PR_EastAsian CM ; JT ; JT
PR_EastAsian CM ; NSmEastAsian ; EXmEastAsian
PR_EastAsian CM ; IDmEastAsianmExtPictUnassigned ; IDmEastAsianmExtPictUnassigned
PR_EastAsian CM ; ZW ; ZW
PR_EastAsian CM ; ZWJ ; PR_EastAsian ZWJ
PR_EastAsian CM ; INmEastAsian ; EXmEastAsian
PR_EastAsian CM ; WJ ; WJ
PR_EastAsian CM ; ID_EastAsian ; ID_EastAsian
PR_EastAsian CM ; OP_EastAsian ; PRmEastAsian OPmEastAsian
PR_EastAsian CM ; CL_EastAsian ; CL_EastAsian
PR_EastAsian CM ; AI_EastAsian|AL_EastAsian ; AL_EastAsian
PR_EastAsian CM ; AL_DottedCircle ; AL_DottedCircle
PR_EastAsian CM ; EBmEastAsian ; EBmEastAsian
PR_EastAsian CM ; EB_EastAsian ; EB_EastAsian
PR_EastAsian CM ; BA_EastAsian ; BA_EastAsian
PR_EastAsian CM ; NS_EastAsian|CJ ; CJ
PR_EastAsian CM ; H2 ; H2
PR_EastAsian CM ; H3 ; H3
PR_EastAsian CM ; EX_EastAsian ; CJ
PR_EastAsian CM ; IN_EastAsian ; CJ
PR_EastAsian CM ; GL_EastAsian ; GL_EastAsian
PR_EastAsian CM ; ID_ExtPictUnassigned ; ID_ExtPictUnassigned
PR_EastAsian CM ; EM ; ID_EastAsian
PR_EastAsian CM ; XX_ExtPictUnassigned ; XX_ExtPictUnassigned
PR_EastAsian CM ; SAmMnmMc ; ALmEastAsianmDottedCircle
PR_EastAsian CM ; SA_Mn|SA_Mc ; PR_EastAsian CM
PR_EastAsian ZWJ ; CM ; PR_EastAsian CM
PR_EastAsian ZWJ ; BAmEastAsian ; BAmEastAsian
PR_EastAsian ZWJ ; LF ; LF
PR_EastAsian ZWJ ; BK|NL ; LF
PR_EastAsian ZWJ ; CR ; CR
PR_EastAsian ZWJ ; SP ; SP
PR_EastAsian ZWJ ; EXmEastAsian ; EXmEastAsian
PR_EastAsian ZWJ ; QUmPimPf ; QUmPimPf
PR_EastAsian ZWJ ; AImEastAsian|ALmEastAsianmDottedCircle|SG|XXmExtPictUnassigned ; ALmEastAsianmDottedCircle
PR_EastAsian ZWJ ; PRmEastAsian ; PRmEastAsian
PR_EastAsian ZWJ ; POmEastAsian ; POmEastAsian
PR_EastAsian ZWJ ; OPmEastAsian ; OPmEastAsian
PR_EastAsian ZWJ ; CP ; CP
PR_EastAsian ZWJ ; IS ; IS
PR_EastAsian ZWJ ; HY ; CM HY
PR_EastAsian ZWJ ; SY ; SY
PR_EastAsian ZWJ ; NU ; NU
PR_EastAsian ZWJ ; CLmEastAsian ; CLmEastAsian
PR_EastAsian ZWJ ; GLmEastAsian ; GLmEastAsian
PR_EastAsian ZWJ ; QU_Pi ; QUmPimPf
PR_EastAsian ZWJ ; BB ; BB
PR_EastAsian ZWJ ; QU_Pf ; JL CM QU_Pf
PR_EastAsian ZWJ ; HH ; BAmEastAsian
PR_EastAsian ZWJ ; HL ; HL
PR_EastAsian ZWJ ; JL ; JL
PR_EastAsian ZWJ ; JV ; JV
PR_EastAsian ZWJ ; JT ; JT
PR_EastAsian ZWJ ; NSmEastAsian ; EXmEastAsian
PR_EastAsian ZWJ ; AK ; AK
PR_EastAsian ZWJ ; VI ; EXmEastAsian
PR_EastAsian ZWJ ; AS ; AK
PR_EastAsian ZWJ ; IDmEastAsianmExtPictUnassigned ; IDmEastAsianmExtPictUnassigned
PR_EastAsian ZWJ ; VF ; EXmEastAsian
PR_EastAsian ZWJ ; ZW ; ZW
PR_EastAsian ZWJ ; ZWJ ; PR_EastAsian ZWJ
PR_EastAsian ZWJ ; B2 ; B2
PR_EastAsian ZWJ ; INmEastAsian ; EXmEastAsian
PR_EastAsian ZWJ ; WJ ; WJ
PR_EastAsian ZWJ ; PR_EastAsian ; PR_EastAsian
PR_EastAsian ZWJ ; ID_EastAsian ; ID_EastAsian
PR_EastAsian ZWJ ; OP_EastAsian ; OP_EastAsian
PR_EastAsian ZWJ ; CL_EastAsian ; CL_EastAsian
PR_EastAsian ZWJ ; AI_EastAsian|AL_EastAsian ; AL_EastAsian
PR_EastAsian ZWJ ; AL_DottedCircle ; AL_DottedCircle
PR_EastAsian ZWJ ; EBmEastAsian ; EBmEastAsian
PR_EastAsian ZWJ ; EB_EastAsian ; EB_EastAsian
PR_EastAsian ZWJ ; BA_EastAsian ; BA_EastAsian
PR_EastAsian ZWJ ; NS_EastAsian|CJ ; CJ
PR_EastAsian ZWJ ; H2 ; H2
PR_EastAsian ZWJ ; H3 ; H3
PR_EastAsian ZWJ ; EX_EastAsian ; CJ
PR_EastAsian ZWJ ; IN_EastAsian ; CJ
PR_EastAsian ZWJ ; PO_EastAsian ; PO_EastAsian
PR_EastAsian ZWJ ; CB ; CB
PR_EastAsian ZWJ ; AP ; AP
PR_EastAsian ZWJ ; GL_EastAsian ; GL_EastAsian
PR_EastAsian ZWJ ; ID_ExtPictUnassigned ; ID_ExtPictUnassigned
PR_EastAsian ZWJ ; RI ; RI
PR_EastAsian ZWJ ; EM ; ID_EastAsian
PR_EastAsian ZWJ ; XX_ExtPictUnassigned ; XX_ExtPictUnassigned
PR_EastAsian ZWJ ; SAmMnmMc ; ALmEastAsianmDottedCircle
PR_EastAsian ZWJ ; SA_Mn|SA_Mc ; PR_EastAsian CM
ID_EastAsian CM ; CM ; ID_EastAsian CM
ID_EastAsian CM ; BAmEastAsian ; BAmEastAsian
ID_EastAsian CM ; LF ; LF
ID_EastAsian CM ; BK|NL ; LF
ID_EastAsian CM ; CR ; CR
ID_EastAsian CM ; SP ; SP
ID_EastAsian CM ; EXmEastAsian ; EXmEastAsian
ID_EastAsian CM ; QUmPimPf ; QUmPimPf
ID_EastAsian CM ; POmEastAsian ; POmEastAsian
ID_EastAsian CM ; CP ; CP
ID_EastAsian CM ; IS ; IS
ID_EastAsian CM ; HY ; CM HY
ID_EastAsian CM ; SY ; SY
ID_EastAsian CM ; CLmEastAsian ; CLmEastAsian
ID_EastAsian CM ; GLmEastAsian ; GLmEastAsian
ID_EastAsian CM ; QU_Pi ; JL CM QU_Pi
ID_EastAsian CM ; QU_Pf ; JL CM QU_Pf
ID_EastAsian CM ; HH ; BAmEastAsian
ID_EastAsian CM ; NSmEastAsian ; EXmEastAsian
ID_EastAsian CM ; ZW ; ZW
ID_EastAsian CM ; ZWJ ; ID_EastAsian ZWJ
ID_EastAsian CM ; INmEastAsian ; EXmEastAsian
ID_EastAsian CM ; WJ ; WJ
ID_EastAsian CM ; CL_EastAsian ; CL_EastAsian
ID_EastAsian CM ; BA_EastAsian ; BA_EastAsian
ID_EastAsian CM ; NS_EastAsian|CJ ; CJ
ID_EastAsian CM ; EX_EastAsian ; CJ
ID_EastAsian CM ; IN_EastAsian ; CJ
ID_EastAsian CM ; PO_EastAsian ; PO_EastAsian
ID_EastAsian CM ; GL_EastAsian ; GL_EastAsian
ID_EastAsian CM ; SA_Mn|SA_Mc ; ID_EastAsian CM
ID_EastAsian ZWJ ; CM ; ID_EastAsian CM
ID_EastAsian ZWJ ; BAmEastAsian ; BAmEastAsian
ID_EastAsian ZWJ ; LF ; LF
ID_EastAsian ZWJ ; BK|NL ; LF
ID_EastAsian ZWJ ; CR ; CR
ID_EastAsian ZWJ ; SP ; SP
ID_EastAsian ZWJ ; EXmEastAsian ; EXmEastAsian
ID_EastAsian ZWJ ; QUmPimPf ; QUmPimPf
ID_EastAsian ZWJ ; AImEastAsian|ALmEastAsianmDottedCircle|SG|XXmExtPictUnassigned ; ALmEastAsianmDottedCircle
ID_EastAsian ZWJ ; PRmEastAsian ; PRmEastAsian
ID_EastAsian ZWJ ; POmEastAsian ; POmEastAsian
ID_EastAsian ZWJ ; OPmEastAsian ; OPmEastAsian
ID_EastAsian ZWJ ; CP ; CP
ID_EastAsian ZWJ ; IS ; IS
ID_EastAsian ZWJ ; HY ; CM HY
ID_EastAsian ZWJ ; SY ; SY
ID_EastAsian ZWJ ; NU ; NU
ID_EastAsian ZWJ ; CLmEastAsian ; CLmEastAsian
ID_EastAsian ZWJ ; GLmEastAsian ; GLmEastAsian
ID_EastAsian ZWJ ; QU_Pi ; QUmPimPf
ID_EastAsian ZWJ ; BB ; BB
ID_EastAsian ZWJ ; QU_Pf ; JL CM QU_Pf
ID_EastAsian ZWJ ; HH ; BAmEastAsian
ID_EastAsian ZWJ ; HL ; HL
ID_EastAsian ZWJ ; JL ; JL
ID_EastAsian ZWJ ; JV ; JV
ID_EastAsian ZWJ ; JT ; JT
ID_EastAsian ZWJ ; NSmEastAsian ; EXmEastAsian
ID_EastAsian ZWJ ; AK ; AK
ID_EastAsian ZWJ ; VI ; EXmEastAsian
ID_EastAsian ZWJ ; AS ; AK
ID_EastAsian ZWJ ; IDmEastAsianmExtPictUnassigned ; IDmEastAsianmExtPictUnassigned
ID_EastAsian ZWJ ; VF ; EXmEastAsian
ID_EastAsian ZWJ ; ZW ; ZW
ID_EastAsian ZWJ ; ZWJ ; ID_EastAsian ZWJ
ID_EastAsian ZWJ ; B2 ; B2
ID_EastAsian ZWJ ; INmEastAsian ; EXmEastAsian
ID_EastAsian ZWJ ; WJ ; WJ
ID_EastAsian ZWJ ; PR_EastAsian ; PR_EastAsian
ID_EastAsian ZWJ ; ID_EastAsian ; ID_EastAsian
ID_EastAsian ZWJ ; OP_EastAsian ; OP_EastAsian
ID_EastAsian ZWJ ; CL_EastAsian ; CL_EastAsian
ID_EastAsian ZWJ ; AI_EastAsian|AL_EastAsian ; AL_EastAsian
ID_EastAsian ZWJ ; AL_DottedCircle ; AL_DottedCircle
ID_EastAsian ZWJ ; EBmEastAsian ; EBmEastAsian
ID_EastAsian ZWJ ; EB_EastAsian ; EB_EastAsian
ID_EastAsian ZWJ ; BA_EastAsian ; BA_EastAsian
ID_EastAsian ZWJ ; NS_EastAsian|CJ ; CJ
ID_EastAsian ZWJ ; H2 ; H2
ID_EastAsian ZWJ ; H3 ; H3
ID_EastAsian ZWJ ; EX_EastAsian ; CJ
ID_EastAsian ZWJ ; IN_EastAsian ; CJ
ID_EastAsian ZWJ ; PO_EastAsian ; PO_EastAsian
ID_EastAsian ZWJ ; CB ; CB
ID_EastAsian ZWJ ; AP ; AP
ID_EastAsian ZWJ ; GL_EastAsian ; GL_EastAsian
ID_EastAsian ZWJ ; ID_ExtPictUnassigned ; ID_ExtPictUnassigned
ID_EastAsian ZWJ ; RI ; RI
ID_EastAsian ZWJ ; EM ; ID_EastAsian
ID_EastAsian ZWJ ; XX_ExtPictUnassigned ; XX_ExtPictUnassigned
ID_EastAsian ZWJ ; SAmMnmMc ; ALmEastAsianmDottedCircle
ID_EastAsian ZWJ ; SA_Mn|SA_Mc ; ID_EastAsian CM
OP_EastAsian CM ; CM ; OP_EastAsian CM
OP_EastAsian CM ; BAmEastAsian ; BAmEastAsian
OP_EastAsian CM ; LF ; LF
OP_EastAsian CM ; BK|NL ; LF
OP_EastAsian CM ; CR ; CR
OP_EastAsian CM ; SP ; OPmEastAsian SP
OP_EastAsian CM ; EXmEastAsian ; EXmEastAsian
OP_EastAsian CM ; QUmPimPf ; QUmPimPf
OP_EastAsian CM ; AImEastAsian|ALmEastAsianmDottedCircle|SG|XXmExtPictUnassigned ; ALmEastAsianmDottedCircle
OP_EastAsian CM ; PRmEastAsian ; PRmEastAsian
OP_EastAsian CM ; POmEastAsian ; POmEastAsian
OP_EastAsian CM ; OPmEastAsian ; OPmEastAsian
OP_EastAsian CM ; CP ; CP
OP_EastAsian CM ; IS ; IS
OP_EastAsian CM ; HY ; CM HY
OP_EastAsian CM ; SY ; SY
OP_EastAsian CM ; NU ; NU
OP_EastAsian CM ; CLmEastAsian ; CLmEastAsian
OP_EastAsian CM ; GLmEastAsian ; GLmEastAsian
OP_EastAsian CM ; QU_Pi ; QUmPimPf QU_Pi
OP_EastAsian CM ; BB ; BB
OP_EastAsian CM ; QU_Pf ; JL CM QU_Pf
OP_EastAsian CM ; HH ; BAmEastAsian
OP_EastAsian CM ; HL ; HL
OP_EastAsian CM ; JL ; JL
OP_EastAsian CM ; JV ; JV
OP_EastAsian CM ; JT ; JT
OP_EastAsian CM ; NSmEastAsian ; EXmEastAsian
OP_EastAsian CM ; AK ; AK
OP_EastAsian CM ; VI ; EXmEastAsian
OP_EastAsian CM ; AS ; AK
OP_EastAsian CM ; IDmEastAsianmExtPictUnassigned ; IDmEastAsianmExtPictUnassigned
OP_EastAsian CM ; VF ; EXmEastAsian
OP_EastAsian CM ; ZW ; ZW
OP_EastAsian CM ; ZWJ ; OP_EastAsian CM
OP_EastAsian CM ; B2 ; B2
OP_EastAsian CM ; INmEastAsian ; EXmEastAsian
OP_EastAsian CM ; WJ ; WJ
OP_EastAsian CM ; PR_EastAsian ; PR_EastAsian
OP_EastAsian CM ; ID_EastAsian ; ID_EastAsian
OP_EastAsian CM ; OP_EastAsian ; OP_EastAsian
OP_EastAsian CM ; CL_EastAsian ; CL_EastAsian
OP_EastAsian CM ; AI_EastAsian|AL_EastAsian ; AL_EastAsian
OP_EastAsian CM ; AL_DottedCircle ; AL_DottedCircle
OP_EastAsian CM ; EBmEastAsian ; EBmEastAsian
OP_EastAsian CM ; EB_EastAsian ; EB_EastAsian
OP_EastAsian CM ; BA_EastAsian ; BA_EastAsian
