# Security Profile for General Identifiers
# File: xidmodifications.txt
# Version: 2.1-draft
# Generated: 2010-01-16, 01:33:41 GMT
# Checkin: $Revision: 1.1 $
#
# For documentation and usage, see http://www.unicode.org/reports/tr39/
#
# Characters restricted

070F          ; restricted ; UAX31 T4 Candidate Exclusions               #      (U+070F)  SYRIAC ABBREVIATION MARK
0710..074A    ; restricted ; UAX31 T4 Candidate Exclusions               # [59] (ܐ..݊)  SYRIAC LETTER ALAPH..SYRIAC BARREKH
074D..074F    ; restricted ; UAX31 T4 Candidate Exclusions               #  [3] (ݍ..ݏ)  SYRIAC LETTER SOGDIAN ZHAIN..SYRIAC LETTER SOGDIAN FE
07C0..07FA    ; restricted ; UAX31 T5 Limited Use                        # [59] (߀..ߺ)  NKO DIGIT ZERO..NKO LAJANYALAN
0800..082D    ; restricted ; UAX31 T4 Candidate Exclusions               # [46] (ࠀ..࠭)  SAMARITAN LETTER ALAF..SAMARITAN MARK NEQUDAA
0830..083E    ; restricted ; UAX31 T4 Candidate Exclusions               # [15] (࠰..࠾)  SAMARITAN PUNCTUATION NEQUDAA..SAMARITAN PUNCTUATION ANNAAU
0964..0965    ; restricted ; not in XID+                                 #  [2] (।..॥)  DEVANAGARI DANDA..DEVANAGARI DOUBLE DANDA
0970          ; restricted ; not in XID+                                 #      (॰)  DEVANAGARI ABBREVIATION SIGN
09F2..09FA    ; restricted ; not in XID+                                 #  [9] (৲..৺)  BENGALI RUPEE MARK..BENGALI ISSHAR
0B70          ; restricted ; not in XID+                                 #      (୰)  ORIYA ISSHAR
0BF0..0BF2    ; restricted ; not in XID+                                 #  [3] (௰..௲)  TAMIL NUMBER TEN..TAMIL NUMBER ONE THOUSAND
0CDE          ; restricted ; archaic                                     #      (ೞ)  KANNADA LETTER FA
0DF4          ; restricted ; not in XID+                                 #      (෴)  SINHALA PUNCTUATION KUNDDALIYA
0E3F          ; restricted ; not in XID+                                 #      (฿)  THAI CURRENCY SYMBOL BAHT
0E4F          ; restricted ; not in XID+                                 #      (๏)  THAI CHARACTER FONGMAN
0E5A..0E5B    ; restricted ; not in XID+                                 #  [2] (๚..๛)  THAI CHARACTER ANGKHANKHU..THAI CHARACTER KHOMUT
0F01..0F0A    ; restricted ; not in XID+                                 # [10] (༁..༊)  TIBETAN MARK GTER YIG MGO TRUNCATED A..TIBETAN MARK BKA- SHOG YIG MGO
