# Curated file of exceptions
# Source; 	Target; 	Other; 	Reason(s); 	Comments

#@override reason=digraph

1F150;	0061;	missing_NFKC	 # ( 🅐 → a )	NEGATIVE CIRCLED LATIN CAPITAL LETTER A → LATIN SMALL LETTER A
1F151;	0062;	missing_NFKC	 # ( 🅑 → b )	NEGATIVE CIRCLED LATIN CAPITAL LETTER B → LATIN SMALL LETTER B
1F152;	0063;	missing_NFKC	 # ( 🅒 → c )	NEGATIVE CIRCLED LATIN CAPITAL LETTER C → LATIN SMALL LETTER C
1F153;	0064;	missing_NFKC	 # ( 🅓 → d )	NEGATIVE CIRCLED LATIN CAPITAL LETTER D → LATIN SMALL LETTER D
1F154;	0065;	missing_NFKC	 # ( 🅔 → e )	NEGATIVE CIRCLED LATIN CAPITAL LETTER E → LATIN SMALL LETTER E
1F155;	0066;	missing_NFKC	 # ( 🅕 → f )	NEGATIVE CIRCLED LATIN CAPITAL LETTER F → LATIN SMALL LETTER F
1F156;	0067;	missing_NFKC	 # ( 🅖 → g )	NEGATIVE CIRCLED LATIN CAPITAL LETTER G → LATIN SMALL LETTER G
1F157;	0068;	missing_NFKC	 # ( 🅗 → h )	NEGATIVE CIRCLED LATIN CAPITAL LETTER H → LATIN SMALL LETTER H
1F158;	0069;	missing_NFKC	 # ( 🅘 → i )	NEGATIVE CIRCLED LATIN CAPITAL LETTER I → LATIN SMALL LETTER I
1F159;	006A;	missing_NFKC	 # ( 🅙 → j )	NEGATIVE CIRCLED LATIN CAPITAL LETTER J → LATIN SMALL LETTER J
1F15A;	006B;	missing_NFKC	 # ( 🅚 → k )	NEGATIVE CIRCLED LATIN CAPITAL LETTER K → LATIN SMALL LETTER K
1F15B;	006C;	missing_NFKC	 # ( 🅛 → l )	NEGATIVE CIRCLED LATIN CAPITAL LETTER L → LATIN SMALL LETTER L
1F15C;	006D;	missing_NFKC	 # ( 🅜 → m )	NEGATIVE CIRCLED LATIN CAPITAL LETTER M → LATIN SMALL LETTER M
1F15D;	006E;	missing_NFKC	 # ( 🅝 → n )	NEGATIVE CIRCLED LATIN CAPITAL LETTER N → LATIN SMALL LETTER N
1F15E;	006F;	missing_NFKC	 # ( 🅞 → o )	NEGATIVE CIRCLED LATIN CAPITAL LETTER O → LATIN SMALL LETTER O
1F15F;	0070;	missing_NFKC	 # ( 🅟 → p )	NEGATIVE CIRCLED LATIN CAPITAL LETTER P → LATIN SMALL LETTER P
1F160;	0071;	missing_NFKC	 # ( 🅠 → q )	NEGATIVE CIRCLED LATIN CAPITAL LETTER Q → LATIN SMALL LETTER Q
1F161;	0072;	missing_NFKC	 # ( 🅡 → r )	NEGATIVE CIRCLED LATIN CAPITAL LETTER R → LATIN SMALL LETTER R
1F162;	0073;	missing_NFKC	 # ( 🅢 → s )	NEGATIVE CIRCLED LATIN CAPITAL LETTER S → LATIN SMALL LETTER S
1F163;	0074;	missing_NFKC	 # ( 🅣 → t )	NEGATIVE CIRCLED LATIN CAPITAL LETTER T → LATIN SMALL LETTER T
1F164;	0075;	missing_NFKC	 # ( 🅤 → u )	NEGATIVE CIRCLED LATIN CAPITAL LETTER U → LATIN SMALL LETTER U
1F165;	0076;	missing_NFKC	 # ( 🅥 → v )	NEGATIVE CIRCLED LATIN CAPITAL LETTER V → LATIN SMALL LETTER V
1F166;	0077;	missing_NFKC	 # ( 🅦 → w )	NEGATIVE CIRCLED LATIN CAPITAL LETTER W → LATIN SMALL LETTER W
1F167;	0078;	missing_NFKC	 # ( 🅧 → x )	NEGATIVE CIRCLED LATIN CAPITAL LETTER X → LATIN SMALL LETTER X
1F168;	0079;	missing_NFKC	 # ( 🅨 → y )	NEGATIVE CIRCLED LATIN CAPITAL LETTER Y → LATIN SMALL LETTER Y
1F169;	007A;	missing_NFKC	 # ( 🅩 → z )	NEGATIVE CIRCLED LATIN CAPITAL LETTER Z → LATIN SMALL LETTER Z
1F170;	0061;	missing_NFKC	 # ( 🅰 → a )	NEGATIVE SQUARED LATIN CAPITAL LETTER A → LATIN SMALL LETTER A
