5F99	136K
5F9C	584I
5F9E	135A
5FA0	484I
5FA1	307F
5FA4	670D
5FA7	566D
5FA8	74I
5FA9	545C
5FAA	844E
5FAE	550B
5FB5	550D
5FB7	381aP
5FB9	873G
5FBD	550H
5FC3	377A
5FC5	378A
5FCC	311D
5FCD	222C
5FD0..5FD1	119H
5FD2	328F
5FD6	18H
5FD7	65C
5FD8	646G
5FD9	646B
5FDD	462K
5FE0	784C
5FE4	37G
5FEB	482A
5FF1	176G
5FF5	436A
5FF8	676G
5FFD	233C
5FFF	395C
600D	150H
600E	150A
600F	483H
6012	553D
6015	804A
6016	171I
6019	702G
601B	793K
601D	379A
6020	718E
6021	718H
6025	667A
6026	36I
6027	41C
6028	271D
6029	725H
602A	43B
602F	44D
6031	234H
6035	491I
6043	46E
604D	390E
6050	8A
6052	795C
6055	554A
6059	151H
6062	173I
6063	442H
6064	611C
6065	626C
6068	359A
6069	771B
606A	712G
606B	580I
606C	707H
606D	95B
606F	853B
6070	708E
6083	772I
6084	124H
6085	756D
6089	377E
608C	249G
608D	33H
6094	572C
6096	113C
609E	761C
609F	763D
60A0	549G
60A3	789B
60A8	121C
60B2	418C
60B4	14I
60B5	353G
60B6	635D
60BC	15F
60BD	668G
60C5	82A
60D1	333D
60D5	235H
60DA	233H
60DC	799B
60DD	584K
60DF	52D
60E0	840D
60E1	247C
60E6	720E
60F0	179B
60F1	428E
60F3	847A
60F6	74D
60F9	182D
60FA	42I
60FB	858G
60FD	351E
6101	450C
6106	5D
6108	619B
610E	544F
610F	91A
6110	766H
6115	243I
611A	575B
611B	411A
611C	455K
611F	345C
6120	606G
6127	808D
6130	390F
613C	843C
6144	778G
6147	402D
6148	880C
614B	324D
614C	649B
6155	453D
6158	282G
615A	212D
615D	183I
615F	27E
6162	849A
6163	861B
6167	673C
6168	366G
616E	208C
6170	727C
6176	377C
6177	526H
617C	123H
617E	710C
6182	412C
618A	596H
618B	561F
618E	832D
6190	275B
6191	255D
6194	56H
619A	826I
61A4	417D
61A8	629I
61A9	101K
61AB	635aC
61B2	381E
61B6	91D
61BE	345G
61C2	27A
61C3	106G
61C7	360C
61C8	603E
61C9	202A
61CA	519D
61CB	115K
61DC	276I
61E6	613G
61F2	550F
61F6	503A
61F7	368D
61F8	887D
61FA	420K
61FC	61C
61FE	633K
61FF	734G
6200	888E
6208	331G
6209	340K
620A	341H
620C	342H
620E	336H
6210	347B
6211	338A
6212	337C
6214	332K
6215	162K
6216	333B
621A	123C
621B	331H
621E	331H
621F	331K
6220	93P
6225	42H
622A	334F
622E	283G
6230	826C
6232	331D
6233	57F
6234	334A
6236	728D
623E	458G
623F	261B
6240	728A
6241	566F
6247	295B
6249	418I
624B	141A
624D	22C
624E	297C
6252	392H
6253	2A
6254	216C
6258	373B
625B	8B
6260	538H
6263	694B
626D	676D
626E	395E
626F	126F
6276	465C
6279	317E
627B	441H
627C	196I
627D	376H
627E	331A
627F	522C
6280	539E
6284	122C
6285	225aG
628A	312A
6291	308G
6292	114I
6293	406C
6295	399C
6296	23E
6297	398E
629B	223D
62AB	537D
62B1	225C
62B5	349E
62B9	496C
62BC	825D
62BD	818A
62BF	358H
62C2	252I
62C3	150I
62C4	81I
62C6	214B
62C7	571H
62C8	720E
62C9	84B
62CA	19K
62CC	144H
62CD	804D
62D0	224F
62D1	101K
62D2	641F
62D4	188D
62D6	301F
62D7	876H
62D8	227D
62D9	665C
62DA	868F
62DB	715B
62DC	141A
62EC	707E
62ED	329G
62EF	522C
62F1	95H
62F3	466C
62F4	78C
62F7	190G
62FD	835E
62FE	708B
62FF	708A
6301	46C
6307	323B
6308	147I
6309	555B
6311	383A
6313	374K
6316	394C
6328	477B
632A	143D
632B	432H
632F	355C
6331	122F
633A	70E
633D	384D
633E	455D
6345	594I
6346	772C
6349	133C
634D	33K
634E	124D
6350	759C
6355	597F
6362	774A
6367	470F
6368	707D
636B	635F
6371	50H
6372	467D
6375	819I
6376	26F
6377	136G
6379	416I
637A	451H
637B	436E
6380	210D
6383	674B
6384	439E
6387	534D
6388	410C
6389	15A
638C	587B
6390	683D
6392	418C
6396	268H
6398	666E
6399	413B
639B	49B
63A0	747E
63A1	488E
63A2	487C
63A3	221E
63A5	85A
63A7	10D
63A8	52B
63A9	810E
63AA	799G
63AC	229K
63AF	130K
63C0	505B
63C6	464G
63C9	117F
63CC	379I
63CF	817F
63D0	139B
63D1	686D
63D2	24E
63D6	631E
63DA	236D
63E1	884E
63E3	614E
63E6	501I
63E9	318K
63EA	450C
63ED	239D
63EE	838F
63F0	27H
63F4	187D
6406	601E
640A	663H
640B	204G
640C	354G
640D	760C
640F	598I
6413	178D
6414	787F
6416	658B
6417	254F
6418	189F
641C	681E
6421	533E
6425	754G
6426	245H
6427	295F
6428	296H
642A	723G
642C	569A
642D	709F
642F	682B
6430	616I
6432	407I
6436	679D
6437	843H
643D	484H
6440	253D
6454	13E
6458	590A
645E	815H
645F	790E
6467	53I
6469	494C
6473	696G
6476	839F
6478	453C
6479	453G
647A	294D
6485	662H
6487	561D
6488	449E
6490	587E
6492	800C
6493	391E
6495	103C
6499	783I
649A	459F
649E	829D
64A2	780E
64A3	826F
64A4	873D
64A5	246D
64A9	454H
64AB	259D
64AC	375G
64AD	811F
64AE	628G
64B0	97G
64B2	156F
64B4	746I
64BB	155H
64BC	345H
64BF	440I
64C0	17H
64C1	62D
64C2	813G
64C4	208D
64C5	768G
64C7	160D
64C9	788I
64CA	405D
64CB	586B
64CD	697C
64CE	228H
64D2	547F
64D3	52K
64D4	741C 741G
64D6	239I
64D8	158E
64DA	290C
64E0	421D
64E1	885A
64E2	57G
64E4	852F
64E6	515A
64EC	479E
64EF	860K
64F0	2F
64F1	712A
64F2	782E
64F4	823D
64FA	325B
64FB	791B
64FE	412C
6500	493H
6506	465E
6509	52G
650F	315D
6514	506C
6518	369G
6519	386E
651B	689H
651C	52G
651D	633F
6522	40D
6523	888K
6524	108B
6529	586B
652A	692D
652C	609G
652E	369I
652F	539D
6532	452I
6534	548K
6536	161B
6538	549G
6539	311B
653B	8C
653E	261A
653F	127A
6545	702C
6548	531C
654D	31G
654E	191B
654F	573E
6551	524B
6554	763K
6556	264I
6557	856C
655D	561A
655E	584D
6560	534K
6562	629B
6563	800C
6566	746F
656B	551P
656C	228C
6572	582E
6574	127B
6575	590C
6577	597A
6578	791A
6582	440E
6583	561G
6585	692K
6587	546B
6590	418I
6591	77F
6597	23C
6599	23B
659B	602G
659C	31D
659F	104D
65A4	209A
65A5	214D
65A7	530C
65AC	212D
65AF	103C
65B0	86A
65B7	882B
65B9	261A
65BC	263B
65BD	265B
65BF	266P
65C1	262A
65C4	265I
65C5	265D
65C6	265K
65CB	265F
65CC	265H
65CF	265D
65D7	102A
65DB	811H
65E3	366A
65E5	792A
65E6	793F
65E8	323B
65E9	795aA
65EC	230F
65ED	302I
65F1	33B
65FA	71B
6602	308E
6606	798F
6607	414C
660A	462I
660C	803F
660E	796A
660F	351D
6613	235A
6614	799E
661C	236K
661F	42B
6625	472A
6627	495D
6628	150A
662D	715G
662F	139A
6642	46A
6643	390E
6649	35G
664C	579A
664F	555G
665D	669D
6664	763H
6666	572G
6668	355A
6669	384A
666E	35C
666F	748C
6670	211I
6673	211I
6674	82A
6676	792F
6677	714H
667A	475C
667E	747E
6687	639F
6688	838I
668C	464K
668E	483G
6691	192A
6696	187A
6697	90C
66A2	236E
66AB	212C
66AE	453G
66B1	183K
66B4	99D
66C1	366H
66C6	513H
66C7	875I
66C9	391C
66D9	192I
66DC	57H
66DD	99G
66E0	823B
66E9	369I
66EC	320B
66F0	792F
66F2	819E
66F3	835E
66F4	834A
66F7	239G
66F8	669A
66F9	820F
66FC	849K
66FE	832B
66FF	465A
6700	628B
6701	801K
6703	833A
6708	621A
6709	184A
670B	622A
670D	621B
6714	661F
6715	462I
6717	361H
671B	646A
671D	16D
671F	102B
6726	289H
6727	315I
6728	484B
672A	495B
672B	496B
672C	485A
672D	297H
672E	491K
6731	499E
6736	216aA
673D	240C
673F	500G
6746	32F
6748	538G
6749	280F
674C	387H
674E	484B
674F	484C
6750	22C
6751	18B
6753	231G
6756	168C
675C	43H
675F	501D
676A	122I
676F	120A
6771	504A
6773	484H
6775	37G
6777	312K
677C	114K
677E	393D
677F	215A
6787	317I
6789	71D
6790	211H
6795	176B
6797	492C
679A	548D
679C	507A
679D	539D
67AF	702E
67B3	757F
67B5	0I
67B6	716B
67B7	716G
67BC	110K
67C1	322E
67C4	445C
67CF	804F
67D0	509B
67D1	101H
67D3	302D
67D4	117C
67D8	722I
67DA	818K
67DE	150F
67E9	430G
67EC	505K
67EF	699G
67F1	81C
67F3	309B
67F4	129C
67F5	565D
67FA	224D
67FF	558D
6817	778D
6821	531A
682A	499I
6838	874E
6839	359C
683C	712C
683D	334D
6840	273K
6842	48F
6843	383C
6845	197E
6846	72F
6848	555D
684C	15A
6850	580F
6851	533D
6853	795I
686C	122H
6876	594C
687C	527P
687F	33E
6881	489A
6883	70G
6885	572D
6886	142G
6894	312K
6897	834F
689D	549A
689F	253G
68A2	124H
68A7	763F
68A8	511C
68AD	542F
68AF	249B
68B0	337F
68B3	871B
68B5	492I
68C4	110D
68C9	806C
68CB	102G
68CD	798D
68D2	470E
68D5	516E
68D7..68D8	500D
68DA	622B
68DF	504F
68E0	584G
68E7	332E
68EE	492G
68F2	668F
68F5	507F
68F9	15A
68FA	751D
6905	452A
690A	14I
690D	842E
6912	123B
6930	632G
6939	104K
693D	287F
693F	472K
6942	793K
694A	236E
695A	492B
6960	591G
6961	619F
6963	846F
6966	795B
696B	631K
696D	156G
696E	192I
6975	241B
6977	318F
6978	450H
6982	366B
6994	362H
6995	711K
699B	469H
699C	262D
