2F884	U+5DFD
2F885	U+5E28
2F886	U+5E3D
2F887	U+5E69
2F888	U+3862
2F889	U+22183
2F88A	U+387C
2F88B	U+5EB0
2F88C	U+5EB3
2F88D	U+5EB6
2F88E	U+5ECA
2F88F	U+2A392
2F890	U+5EFE
2F891..2F892	U+22331
2F893	U+8201
2F894..2F895	U+5F22
2F896	U+38C7
2F897	U+232B8
2F898	U+261DA
2F899	U+5F62
2F89A	U+5F6B
2F89B	U+38E3
2F89C	U+5F9A
2F89D	U+5FCD
2F89E	U+5FD7
2F89F	U+5FF9
2F8A0	U+6081
2F8A1	U+393A
2F8A2	U+391C
2F8A3	U+6094
2F8A4	U+226D4
2F8A5	U+60C7
2F8A6	U+6148
2F8A7	U+614C
2F8A8	U+614E
2F8A9	U+614C
2F8AA	U+617A
2F8AB	U+618E
2F8AC	U+61B2
2F8AD	U+61A4
2F8AE	U+61AF
2F8AF	U+61DE
2F8B0	U+61F2
2F8B1	U+61F6
2F8B2	U+6210
2F8B3	U+621B
2F8B4	U+625D
2F8B5	U+62B1
2F8B6	U+62D4
2F8B7	U+6350
2F8B8	U+22B0C
2F8B9	U+633D
2F8BA	U+62FC
2F8BB	U+6368
2F8BC	U+6383
2F8BD	U+63E4
2F8BE	U+22BF1
2F8BF	U+6422
2F8C0	U+63C5
2F8C1	U+63A9
2F8C2	U+3A2E
2F8C3	U+6469
2F8C4	U+647E
2F8C5	U+649D
2F8C6	U+6477
2F8C7	U+3A6C
2F8C8	U+654F
2F8C9	U+656C
2F8CA	U+2300A
2F8CB	U+65E3
2F8CC	U+66F8
2F8CD	U+6649
2F8CE	U+3B19
2F8CF	U+6691
2F8D0	U+3B08
2F8D1	U+3AE4
2F8D2	U+5192
2F8D3	U+5195
2F8D4	U+6700
2F8D5	U+669C
2F8D6	U+80AD
2F8D7	U+43D9
2F8D8	U+6717
2F8D9	U+671B
2F8DA	U+6721
2F8DB	U+675E
2F8DC	U+6753
2F8DD	U+233C3
2F8DE	U+3B49
2F8DF	U+67FA
2F8E0	U+6785
2F8E1	U+6852
2F8E2	U+6885
2F8E3	U+2346D
2F8E4	U+688E
2F8E5	U+681F
2F8E6	U+6914
2F8E7	U+3B9D
2F8E8	U+6942
2F8E9	U+69A3
2F8EA	U+69EA
2F8EB	U+6AA8
2F8EC	U+236A3
2F8ED	U+6ADB
2F8EE	U+3C18
2F8EF	U+6B21
2F8F0	U+238A7
2F8F1	U+6B54
2F8F2	U+3C4E
2F8F3	U+6B72
2F8F4	U+6B9F
2F8F5	U+6BBA
2F8F6	U+6BBB
2F8F7	U+23A8D
2F8F8	U+21D0B
2F8F9	U+23AFA
2F8FA	U+6C4E
2F8FB	U+23CBC
2F8FC	U+6CBF
2F8FD	U+6CCD
2F8FE	U+6C67
2F8FF	U+6D16
2F900	U+6D3E
2F901	U+6D77
2F902	U+6D41
2F903	U+6D69
2F904	U+6D78
2F905	U+6D85
2F906	U+23D1E
2F907	U+6D34
2F908	U+6E2F
2F909	U+6E6E
2F90A	U+3D33
2F90B	U+6ECB
2F90C	U+6EC7
2F90D	U+23ED1
2F90E	U+6DF9
2F90F	U+6F6E
2F910	U+23F5E
2F911	U+23F8E
2F912	U+6FC6
2F913	U+7039
2F914	U+701E
2F915	U+701B
2F916	U+3D96
2F917	U+704A
2F918	U+707D
2F919	U+7077
2F91A	U+70AD
2F91B	U+20525
2F91C	U+7145
2F91D	U+24263
2F91E	U+719C
2F91F	U+243AB
2F920	U+7228
2F921	U+7235
2F922	U+7250
2F923	U+24608
2F924	U+7280
2F925	U+7295
2F926	U+24735
2F927	U+24814
2F928	U+737A
2F929	U+738B
2F92A	U+3EAC
2F92B	U+73A5
2F92C..2F92D	U+3EB8
2F92E	U+7447
2F92F	U+745C
2F930	U+7471
2F931	U+7485
2F932	U+74CA
2F933	U+3F1B
2F934	U+7524
2F935	U+24C36
2F936	U+753E
2F937	U+24C92
2F938	U+7570
2F939	U+2219F
2F93A	U+7610
2F93B	U+24FA1
2F93C	U+24FB8
2F93D	U+25044
2F93E	U+3FFC
2F93F	U+4008
2F940	U+76F4
2F941	U+250F3
2F942	U+250F2
2F943	U+25119
2F944	U+25133
2F945	U+771E
2F946..2F947	U+771F
2F948	U+774A
2F949	U+4039
2F94A	U+778B
2F94B	U+4046
2F94C	U+4096
2F94D	U+2541D
2F94E	U+784E
2F94F	U+788C
2F950	U+78CC
2F951	U+40E3
2F952	U+25626
2F953	U+7956
