7A8A	116/05;JCHVO;waa1
7AC9	116/16;JCYBP;lung1
7B13	118/04;HPP;bei6
7BF8	118/11;HIIH;caam2
7BFC	118/11;HHVU;dau1
7C15	118/11;HTJS;lak6
7CCD	119/09;FDTVI;ci4
7F39	121/04;OUF;bou1
80B6	130/05;BPP;bei2
80B9	130/04;;hai1
80F5	130/06;BMIG;ci3
810C	130/06;BOQ;nin1
8117	130/07;BPHR;man5
8137	130/07;BHDN;lei6
813D	130/08;BOG;zoe1
814D	130/08;BOIP;nam4
8169	130/09;BJBJ;naam5
816C	130/09;;lau6,nau6
8181	130/10;;jim2
8187	130/10;BYHR;deoi3
8189	130/10;BTCT;jik1
818D	130/10;BHWP;fu4
81A5	130/11;JSOBO;ceon1
81AA	130/12;BYBR;zaa6
81B1	130/12;BYIA;jik1
81B6	130/12;BANG;jeon6/2
820B	134/07;HBBM;lang6
8226	137/04;HYKI;taai5
823E	137/06;HYMCW;sai1
8254	137/09;HYITE;dou6/2
825C	137/11;HYKPB;taai5
83FB	140/08;TDD;lam1
847E	140/09;TNUP;jyun1
849F	140/10;TYTR;lau1
84E2	140/10;;long1
84EA	140/11;TYNB;tung1
84FB	140/11;TGJI;zap1
8503	140/11;TNII;koeng2
8534	140/11;TIDD;maa4
85B3	162/14;;jyun5
8692	142/04;LIBY;jim4
86D3	142/06;JILMI;zi1
875E	142/09;LIAHU;mei1
8786	142/10;LITVI;zi1
87DD	142/12;LIESD;keoi4/2
87E7	142/12;LIFFS;lou4/2
8804	142/13;LIOYB;kam4
88C7	145/06;LHBT;seot1
8971	145/17;LYBP;lung2
8A4F	149/05;YRVIS;[ng]aau3
8D03	154/11;BCLLP;taan3
8D0B	027/16;;[ng]aam4,[ng]am6
8D8C	156/06;GOGR;gat6
8D9C	156/08;GOPFD;guk1
8DB7	157/03;RMON;gat6
8DC0	157/04;RMB;gat6
8DC1	157/04;RMAU;paa1
8DD4	157/05;RMPR;koe4
8E0E	157/07;RMMFR;mau1
8E2D	157/08;RMBSD;zaang1
8E46	157/10;RMYAV;tan3
8E58	157/11;;mau1
8E68	157/12;RMBKF;nim3
8E7E	157/12;RMYDK;dan1
8E80	157/12;RMWJC;gwaan3
8E82	157/13;RMYGQ;daat3
8E9D	157/17;RMANW;laan1
8EAD	158/04;HHLBU;daam1
8EBD	158/09;HHSAV;jin2
8EDA	159/04;JJKI;taai5
8EED	159/06;JJSMG;waang1
8F0B	046/10;UKJJ;ce4
8FFE	162/06;;laat6
9033	162/08;YYIB;juk1
90A8	163/04;PUNL;cyun1
90C1	163/06;DDBUH;juk1
9176	164/07;MWOWY;mui4
9212	167/04;CNHE;zaap6
922A	167/04;CMSU;[ng]aak3/2
924E	167/05;CHQM;sau3
927C	167/08;CTT;bang1
935F	167/09;CAHM;seng3
9385	167/09;CWOL;gaai3
93D7	167/11;CSEG;hang1
93F9	167/11;CNII;koeng5
944A	167/14;CTOE;wok6
9462	167/15;CYPP;leoi3
95AA	169/06;ANMCW;hai1
9628	170/04;NLMSU;[ng]ak1
975A	174/07;QBBUU;leng3
9794	177/07;TJNAU;mong1
97CC	178/03;;[ng]an6
9815	181/05;YRMBC;daam1
9835	181/07;SRMBC;gwang1
98F5	184/05;OIHS;zok3
9938	184/10;OIYTK;sung3
9AB2	188/05;BBPRU;baau6
9AB9	188/06;BBYCK;gaau3
9AE7	190/04;SHLBU;dam3
9B05	190/08;SHBB;lang6
9B20	190/13;SHOMA;jang3
9B2D	191/14;LNRML;dau3
9BED	195/08;NFNDT;maang1
9BFF	195/09;NFHSB;bin2
9C02	195/09;NFBCN;zak1
9C45	195/11;NFILB;jung4
9C72	195/15;NFVVV;laap6
9ED0	202/10;HEYUB;ci1
9F3C	209/02;;hiu3
9FC3	109/07;BUKOO;sip3
201A9	009/03;OHNI;faan2
20325	009/10;OHRF;wu1,wu3
20341	009/11;OOYK;man3
204FC	011/14;ODOJ;sip3
20544	013/05;;nap1
2070E	018/06;HULN;sin3
20731	018/09;HJLN;pai1,pei1
2076D	018/09;;peng2
20779	018/09;WLLN;gaai3
20BA8	030/02;RNHS;naai3
20BA9	030/02;RNN;aa1,liu1
20BCB	030/04;RCMS;jai4,jai5
20BE6	030/04;;cai3
20BFD	030/04;;zi1
20C0B	030/05;ROM;jaau1
20C41	030/05;RNUE;tam3
20C42	030/05;RBSS;dat1
20C43	030/05;RSSU;nip1
20C53	030/06;RNMU;[ng]ai1
20C65	030/05;RJT;fik1,we5
20C77	030/06;;ming1
20C78	030/06;RSLL;san2,seon2
20C96	030/06;RYHV;ji1
20C9C	030/08;RBSD;zaang1
20CB5	030/07;RGIS;gip3
20CCF	030/07;RQYM;ce2,ce6
20CD5	030/07;RQFH;caau3
20CD6	030/06;RQNE;dap6
20D15	030/07;RVFH;miu2
20D30	030/08;;gau6
20D33	030/08;;[ng]aau1,[ng]aau3
20D46	030/08;RQAM;daam3
20D47	030/08;RKMR;keu4
20D48	030/08;RVJD;mui2
20D49	030/08;RDYN;hong4
20D69	030/08;;go2
20D6F	030/08;RHRN;gwit1
20D7C	030/08;RNDT;mang1,mang4
20D7E	030/08;RMUW;waak1
20D7F	030/08;RQDE;pe1,pe5
20D9C	030/08;RHBN;zai3
20DA7	030/08;RIYR;dim6
20DB2	030/08;RMOU;gap6,kap6
20E09	030/09;RUHR;kak1
20E0A	030/09;RKSJ;tap1
20E0E	030/09;RVEQ;naa1
20E0F	030/09;RTKR;ge2
20E10	030/09;RLON;kam1
20E11	030/09;RFBN;soek3
20E12	030/09;;bou2
