# Security Profile for General Identifiers
# File: xidmodifications.txt
# Version: 8.0.0
# Generated: 2015-05-17, 03:09:04 GMT
# Checkin: $Revision: 1.32 $
#
# For documentation and usage, see http://www.unicode.org/reports/tr39/
#
#  All code points not explicitly listed 
#  have the values: Restricted; Not-Characters
# @missing: 0000..10FFFF; Restricted ; Not-Characters


#	Status/Type:	Recommended

0AAA..0AB0    ; Allowed ; Recommended          #  [7] (પ..ર)  GUJARATI LETTER PA..GUJARATI LETTER RA
0AB2..0AB3    ; Allowed ; Recommended          #  [2] (લ..ળ)  GUJARATI LETTER LA..GUJARATI LETTER LLA
0AB5..0AB9    ; Allowed ; Recommended          #  [5] (વ..હ)  GUJARATI LETTER VA..GUJARATI LETTER HA
0ABC..0AC5    ; Allowed ; Recommended          # [10] (઼..ૅ)  GUJARATI SIGN NUKTA..GUJARATI VOWEL SIGN CANDRA E
0AC7..0AC9    ; Allowed ; Recommended          #  [3] (ે..ૉ)  GUJARATI VOWEL SIGN E..GUJARATI VOWEL SIGN CANDRA O
0ACB..0ACD    ; Allowed ; Recommended          #  [3] (ો..્)  GUJARATI VOWEL SIGN O..GUJARATI SIGN VIRAMA
0AD0          ; Allowed ; Recommended          #      (ૐ)  GUJARATI OM
0AE0..0AE3    ; Allowed ; Recommended          #  [4] (ૠ..ૣ)  GUJARATI LETTER VOCALIC RR..GUJARATI VOWEL SIGN VOCALIC LL
0AE6..0AEF    ; Allowed ; Recommended          # [10] (૦..૯)  GUJARATI DIGIT ZERO..GUJARATI DIGIT NINE
0B01..0B03    ; Allowed ; Recommended          #  [3] (ଁ..ଃ)  ORIYA SIGN CANDRABINDU..ORIYA SIGN VISARGA
0B05..0B0C    ; Allowed ; Recommended          #  [8] (ଅ..ଌ)  ORIYA LETTER A..ORIYA LETTER VOCALIC L
0B0F..0B10    ; Allowed ; Recommended          #  [2] (ଏ..ଐ)  ORIYA LETTER E..ORIYA LETTER AI
0B13..0B28    ; Allowed ; Recommended          # [22] (ଓ..ନ)  ORIYA LETTER O..ORIYA LETTER NA
0B2A..0B30    ; Allowed ; Recommended          #  [7] (ପ..ର)  ORIYA LETTER PA..ORIYA LETTER RA
0B32..0B33    ; Allowed ; Recommended          #  [2] (ଲ..ଳ)  ORIYA LETTER LA..ORIYA LETTER LLA
0B35..0B39    ; Allowed ; Recommended          #  [5] (ଵ..ହ)  ORIYA LETTER VA..ORIYA LETTER HA
0B3C..0B43    ; Allowed ; Recommended          #  [8] (଼..ୃ)  ORIYA SIGN NUKTA..ORIYA VOWEL SIGN VOCALIC R
0B47..0B48    ; Allowed ; Recommended          #  [2] (େ..ୈ)  ORIYA VOWEL SIGN E..ORIYA VOWEL SIGN AI
0B4B..0B4D    ; Allowed ; Recommended          #  [3] (ୋ..୍)  ORIYA VOWEL SIGN O..ORIYA SIGN VIRAMA
0B56..0B57    ; Allowed ; Recommended          #  [2] (ୖ..ୗ)  ORIYA AI LENGTH MARK..ORIYA AU LENGTH MARK
0B5F..0B61    ; Allowed ; Recommended          #  [3] (ୟ..ୡ)  ORIYA LETTER YYA..ORIYA LETTER VOCALIC LL
0B66..0B6F    ; Allowed ; Recommended          # [10] (୦..୯)  ORIYA DIGIT ZERO..ORIYA DIGIT NINE
0B71          ; Allowed ; Recommended          #      (ୱ)  ORIYA LETTER WA
0B82..0B83    ; Allowed ; Recommended          #  [2] (ஂ..ஃ)  TAMIL SIGN ANUSVARA..TAMIL SIGN VISARGA
0B85..0B8A    ; Allowed ; Recommended          #  [6] (அ..ஊ)  TAMIL LETTER A..TAMIL LETTER UU
0B8E..0B90    ; Allowed ; Recommended          #  [3] (எ..ஐ)  TAMIL LETTER E..TAMIL LETTER AI
0B92..0B95    ; Allowed ; Recommended          #  [4] (ஒ..க)  TAMIL LETTER O..TAMIL LETTER KA
0B99..0B9A    ; Allowed ; Recommended          #  [2] (ங..ச)  TAMIL LETTER NGA..TAMIL LETTER CA
0B9C          ; Allowed ; Recommended          #      (ஜ)  TAMIL LETTER JA
0B9E..0B9F    ; Allowed ; Recommended          #  [2] (ஞ..ட)  TAMIL LETTER NYA..TAMIL LETTER TTA
0BA3..0BA4    ; Allowed ; Recommended          #  [2] (ண..த)  TAMIL LETTER NNA..TAMIL LETTER TA
0BA8..0BAA    ; Allowed ; Recommended          #  [3] (ந..ப)  TAMIL LETTER NA..TAMIL LETTER PA
0BAE..0BB9    ; Allowed ; Recommended          # [12] (ம..ஹ)  TAMIL LETTER MA..TAMIL LETTER HA
0BBE..0BC2    ; Allowed ; Recommended          #  [5] (ா..ூ)  TAMIL VOWEL SIGN AA..TAMIL VOWEL SIGN UU
0BC6..0BC8    ; Allowed ; Recommended          #  [3] (ெ..ை)  TAMIL VOWEL SIGN E..TAMIL VOWEL SIGN AI
0BCA..0BCD    ; Allowed ; Recommended          #  [4] (ொ..்)  TAMIL VOWEL SIGN O..TAMIL SIGN VIRAMA
0BD0          ; Allowed ; Recommended          #      (ௐ)  TAMIL OM
0BD7          ; Allowed ; Recommended          #      (ௗ)  TAMIL AU LENGTH MARK
0BE6..0BEF    ; Allowed ; Recommended          # [10] (௦..௯)  TAMIL DIGIT ZERO..TAMIL DIGIT NINE
0C01..0C03    ; Allowed ; Recommended          #  [3] (ఁ..ః)  TELUGU SIGN CANDRABINDU..TELUGU SIGN VISARGA
0C05..0C0C    ; Allowed ; Recommended          #  [8] (అ..ఌ)  TELUGU LETTER A..TELUGU LETTER VOCALIC L
0C0E..0C10    ; Allowed ; Recommended          #  [3] (ఎ..ఐ)  TELUGU LETTER E..TELUGU LETTER AI
0C12..0C28    ; Allowed ; Recommended          # [23] (ఒ..న)  TELUGU LETTER O..TELUGU LETTER NA
0C2A..0C33    ; Allowed ; Recommended          # [10] (ప..ళ)  TELUGU LETTER PA..TELUGU LETTER LLA
0C35..0C39    ; Allowed ; Recommended          #  [5] (వ..హ)  TELUGU LETTER VA..TELUGU LETTER HA
0C3D..0C44    ; Allowed ; Recommended          #  [8] (ఽ..ౄ)  TELUGU SIGN AVAGRAHA..TELUGU VOWEL SIGN VOCALIC RR
0C46..0C48    ; Allowed ; Recommended          #  [3] (ె..ై)  TELUGU VOWEL SIGN E..TELUGU VOWEL SIGN AI
0C4A..0C4D    ; Allowed ; Recommended          #  [4] (ొ..్)  TELUGU VOWEL SIGN O..TELUGU SIGN VIRAMA
0C55..0C56    ; Allowed ; Recommended          #  [2] (ౕ..ౖ)  TELUGU LENGTH MARK..TELUGU AI LENGTH MARK
0C60..0C61    ; Allowed ; Recommended          #  [2] (ౠ..ౡ)  TELUGU LETTER VOCALIC RR..TELUGU LETTER VOCALIC LL
0C66..0C6F    ; Allowed ; Recommended          # [10] (౦..౯)  TELUGU DIGIT ZERO..TELUGU DIGIT NINE
0C82..0C83    ; Allowed ; Recommended          #  [2] (ಂ..ಃ)  KANNADA SIGN ANUSVARA..KANNADA SIGN VISARGA
0C85..0C8C    ; Allowed ; Recommended          #  [8] (ಅ..ಌ)  KANNADA LETTER A..KANNADA LETTER VOCALIC L
0C8E..0C90    ; Allowed ; Recommended          #  [3] (ಎ..ಐ)  KANNADA LETTER E..KANNADA LETTER AI
0C92..0CA8    ; Allowed ; Recommended          # [23] (ಒ..ನ)  KANNADA LETTER O..KANNADA LETTER NA
0CAA..0CB3    ; Allowed ; Recommended          # [10] (ಪ..ಳ)  KANNADA LETTER PA..KANNADA LETTER LLA
0CB5..0CB9    ; Allowed ; Recommended          #  [5] (ವ..ಹ)  KANNADA LETTER VA..KANNADA LETTER HA
0CBC..0CC4    ; Allowed ; Recommended          #  [9] (಼..ೄ)  KANNADA SIGN NUKTA..KANNADA VOWEL SIGN VOCALIC RR
0CC6..0CC8    ; Allowed ; Recommended          #  [3] (ೆ..ೈ)  KANNADA VOWEL SIGN E..KANNADA VOWEL SIGN AI
0CCA..0CCD    ; Allowed ; Recommended          #  [4] (ೊ..್)  KANNADA VOWEL SIGN O..KANNADA SIGN VIRAMA
0CD5..0CD6    ; Allowed ; Recommended          #  [2] (ೕ..ೖ)  KANNADA LENGTH MARK..KANNADA AI LENGTH MARK
0CE0..0CE3    ; Allowed ; Recommended          #  [4] (ೠ..ೣ)  KANNADA LETTER VOCALIC RR..KANNADA VOWEL SIGN VOCALIC LL
0CE6..0CEF    ; Allowed ; Recommended          # [10] (೦..೯)  KANNADA DIGIT ZERO..KANNADA DIGIT NINE
0CF1..0CF2    ; Allowed ; Recommended          #  [2] (ೱ..ೲ)  KANNADA SIGN JIHVAMULIYA..KANNADA SIGN UPADHMANIYA
0D02..0D03    ; Allowed ; Recommended          #  [2] (ം..ഃ)  MALAYALAM SIGN ANUSVARA..MALAYALAM SIGN VISARGA
0D05..0D0C    ; Allowed ; Recommended          #  [8] (അ..ഌ)  MALAYALAM LETTER A..MALAYALAM LETTER VOCALIC L
0D0E..0D10    ; Allowed ; Recommended          #  [3] (എ..ഐ)  MALAYALAM LETTER E..MALAYALAM LETTER AI
0D12..0D3A    ; Allowed ; Recommended          # [41] (ഒ..ഺ)  MALAYALAM LETTER O..MALAYALAM LETTER TTTA
0D3D..0D43    ; Allowed ; Recommended          #  [7] (ഽ..ൃ)  MALAYALAM SIGN AVAGRAHA..MALAYALAM VOWEL SIGN VOCALIC R
0D46..0D48    ; Allowed ; Recommended          #  [3] (െ..ൈ)  MALAYALAM VOWEL SIGN E..MALAYALAM VOWEL SIGN AI
0D4A..0D4E    ; Allowed ; Recommended          #  [5] (ൊ..ൎ)  MALAYALAM VOWEL SIGN O..MALAYALAM LETTER DOT REPH
0D57          ; Allowed ; Recommended          #      (ൗ)  MALAYALAM AU LENGTH MARK
0D60..0D61    ; Allowed ; Recommended          #  [2] (ൠ..ൡ)  MALAYALAM LETTER VOCALIC RR..MALAYALAM LETTER VOCALIC LL
0D66..0D6F    ; Allowed ; Recommended          # [10] (൦..൯)  MALAYALAM DIGIT ZERO..MALAYALAM DIGIT NINE
0D7A..0D7F    ; Allowed ; Recommended          #  [6] (ൺ..ൿ)  MALAYALAM LETTER CHILLU NN..MALAYALAM LETTER CHILLU K
0D82..0D83    ; Allowed ; Recommended          #  [2] (ං..ඃ)  SINHALA SIGN ANUSVARAYA..SINHALA SIGN VISARGAYA
0D85..0D8E    ; Allowed ; Recommended          # [10] (අ..ඎ)  SINHALA LETTER AYANNA..SINHALA LETTER IRUUYANNA
0D91..0D96    ; Allowed ; Recommended          #  [6] (එ..ඖ)  SINHALA LETTER EYANNA..SINHALA LETTER AUYANNA
0D9A..0DA5    ; Allowed ; Recommended          # [12] (ක..ඥ)  SINHALA LETTER ALPAPRAANA KAYANNA..SINHALA LETTER TAALUJA SANYOOGA NAAKSIKYAYA
0DA7..0DB1    ; Allowed ; Recommended          # [11] (ට..න)  SINHALA LETTER ALPAPRAANA TTAYANNA..SINHALA LETTER DANTAJA NAYANNA
0DB3..0DBB    ; Allowed ; Recommended          #  [9] (ඳ..ර)  SINHALA LETTER SANYAKA DAYANNA..SINHALA LETTER RAYANNA
0DBD          ; Allowed ; Recommended          #      (ල)  SINHALA LETTER DANTAJA LAYANNA
0DC0..0DC6    ; Allowed ; Recommended          #  [7] (ව..ෆ)  SINHALA LETTER VAYANNA..SINHALA LETTER FAYANNA
0DCA          ; Allowed ; Recommended          #      (්)  SINHALA SIGN AL-LAKUNA
0DCF..0DD4    ; Allowed ; Recommended          #  [6] (ා..ු)  SINHALA VOWEL SIGN AELA-PILLA..SINHALA VOWEL SIGN KETTI PAA-PILLA
0DD6          ; Allowed ; Recommended          #      (ූ)  SINHALA VOWEL SIGN DIGA PAA-PILLA
