#Unicode code point	English annotation
U+01F51B	ON arrow, ON with exclamation mark and arrow, arrow, exclamation mark, exclamation
U+01F51C	Soon sign, Soon, Soon with right arrow, arrow
U+01F51D	Top sign, Top, Top with an up arrow, up arrow, up
U+01F51E	No one under 18, under 18 prohibited, under 18, 18
U+01F51F	keycap ten, 10
U+01F520	uppercase letters, input uppercase Latin, uppercase Latin, uppercase, Latin
U+01F521	lowercase letters, input lowercase Latin, lowercase Latin, lowercase, Latin
U+01F522	numbers, input numbers
U+01F523	symbols, input symbols
U+01F524	Latin Alphabet, input Latin Alphabet, Latin, English, ABC
U+01F525	fire, flame
U+01F526	flashlight, light, torch, electric
U+01F527	wrench, tool
U+01F528	hammer, tool
U+01F529	nut and bolt, nut, bolt, tool
U+01F52A	cooking knife, knife
U+01F52B	gun, pistol, revolver
U+01F52C	microscope
U+01F52D	telescope
U+01F52E	crystal ball, fortune telling, crystal, ball, fortune
U+01F52F	six-pointed star, fortune telling, six-pointed, star, fortune
U+01F530	green and yellow leaf, green and yellow, beginner, Japanese
U+01F531	trident sign, anchor, trident, emblem
U+01F532	square button, square, button
U+01F533	square button, square, button
U+01F534	large circle, large red circle, red, circle
U+01F535	large circle, large blue circle, blue, circle
U+01F536	large diamond, large orange diamond, orange, diamond
U+01F537	large diamond, large blue diamond, blue, diamond
U+01F538	small diamond, small orange diamond, orange, diamond
U+01F539	small diamond, small blue diamond, blue, diamond
U+01F53A	up triangle, up red triangle, red, triangle
U+01F53B	down triangle, down red triangle, red, triangle
U+01F53C	up triangle, up triangle button, triangle, button
U+01F53D	down triangle, down triangle button, triangle, button
U+01F550	1 o'clock, clock, one, 1:00
U+01F551	2 o'clock, clock, two, 2:00
U+01F552	3 o'clock, clock, three, 3:00
U+01F553	4 o'clock, clock, four, 4:00
U+01F554	5 o'clock, clock, five, 5:00
U+01F555	6 o'clock, clock, six, 6:00
U+01F556	7 o'clock, clock, seven, 7:00
U+01F557	8 o'clock, clock, eight, 8:00
U+01F558	9 o'clock, clock, nine, 9:00
U+01F559	10 o'clock, clock, ten, 10:00
U+01F55A	11 o'clock, clock, eleven, 11:00
U+01F55B	12 o'clock, clock, twelve, 12:00
U+01F55C	one-thirty, , clock, 1:30
U+01F55D	two-thirty, clock, 2:30
U+01F55E	three-thirty,  clock, 3:30
U+01F55F	four-thirty, clock, 4:30
U+01F560	five-thirty, clock, 5:30
U+01F561	six-thirty, clock, 6:30
U+01F562	seven-thirty, clock, 7:30
U+01F563	eight-thirty, clock, 8:30
U+01F564	nine-thirty, clock, 9:30
U+01F565	ten-thirty, clock, 10:30
U+01F566	eleven-thirty, clock, 11:30
U+01F567	twelve-thirty, clock, 12:30
U+01F5FB	Mt. Fuji, mountain
U+01F5FC	Tokyo Tower, Tokyo, tower
U+01F5FD	Statue of Liberty, statue, liberty
U+01F5FE	Map of Japan, map, Japan
U+01F5FF	Moyai statue, statue, Moyai
