# File: MathClassEx.txt
# Revision: 16.0
# Date: 2025-07-01
#
# © 2025 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr25/
#
# ------------------------------------------------
# This file is a classification of characters based on their usage in
# mathematical notation and providing a mapping to standard entity
# sets commonly used for SGML and MathML documents.
#
# While the contents of this file represent the best information
# available to the authors and the Unicode Technical Committee as
# of the date referenced above, it is likely that the information
# in this file will change from time to time.
#
# This file is *NOT* formally part of the Unicode Character Database
# at this time.
#
# The character encoding of this plain-text file is UTF-8.
#
# The data consists of 8 fields. The number and type of fields may change
# in future versions of this file.
#
# 1: code point or range
#
# 2: class, one of:
#
#	N - Normal - includes all digits and symbols requiring only one form
#	A - Alphabetic
#	B - Binary
#	C - Closing - usually paired with opening delimiter
#	D - Diacritic
#	F - Fence - unpaired delimiter (often used as opening or closing)
#	G - Glyph_Part - piece of large operator
#	L - Large - n-ary or large operator, often takes limits
#	O - Opening - usually paired with closing delimiter
#	P - Punctuation
#	R - Relation - includes arrows
#	S - Space
#	U - Unary - operators that are only unary
#	V - Vary - operators that can be unary or binary depending on context
#	X - Special - characters not covered by other classes
#
# The C, O, and F operators are stretchy. In addition, some binary operators such
# as U+002F are stretchy as noted in the descriptive comments. The classes are
# also useful in determining extra spacing around the operators as discussed
# in UTR #25.
#
# 3: entity name
#
# 4: entity set
#
# 5: descriptive comments (of various types)
# The descriptive comments provide more information about a character,
# or its specific appearance. Some descriptions contain common macro
# names (with slash) but in the majority of cases, the description is
# simply the description of the entity in the published entity set, if
# different from the formal Unicode character name. Minor differences
# in word order, punctuation and verb forms have been ignored, but not
# systematic differences in terminology, such as filled vs. black.
# In principle this allows location of entities by their description.
#
# 6: Comment with Unicode General Category, character (UTf-8)
#    and Unicode character name or names
#    Character names are provided for ease of reference only.
#
# Fields are delimited by ';'.
# Spaces adjacent to the delimiter or the '#' are not significant
# Future versions of this file may use different amounts of whitespace.
#
# Some character positions in the Mathematical Alphanumeric Symbols block are
# reserved and have been mapped to the Letterlike Symbols block in Unicode.
# This is indicated in 24 special purpose comments.
#
# The character repertoire of this revision is the repertoire of Unicode
# Version 17.0. For more information see Revision 16 or later of UTR #25.
# ------------------------------------------------

#code point;class;entity;set;note/description # comment/Unicode name
2246;R;simne;HTML-MathML;similar, not equals [vert only for 9573 entity] # Sm (≆) APPROXIMATELY BUT NOT ACTUALLY EQUAL TO
2247;R;ncong NotTildeFullEqual;HTML-MathML;not congruent with # Sm (≇) NEITHER APPROXIMATELY NOR ACTUALLY EQUAL TO
2248;R;asymp ap TildeTilde approx thkap thickapprox;HTML-MathML;approximate # Sm (≈) ALMOST EQUAL TO
2249;R;nap NotTildeTilde napprox;HTML-MathML;not approximate # Sm (≉) NOT ALMOST EQUAL TO
224A;R;ape approxeq;HTML-MathML;approximate, equals # Sm (≊) ALMOST EQUAL OR EQUAL TO
224B;R;apid;HTML-MathML;approximately identical to # Sm (≋) TRIPLE TILDE
224C;R;bcong backcong;HTML-MathML; # Sm (≌) ALL EQUAL TO
224D;R;asympeq CupCap;HTML-MathML;asymptotically equal to # Sm (≍) EQUIVALENT TO
224E;R;bump HumpDownHump Bumpeq;HTML-MathML;bumpy equals # Sm (≎) GEOMETRICALLY EQUIVALENT TO
224F;R;bumpe HumpEqual bumpeq;HTML-MathML;bumpy equals, equals # Sm (≏) DIFFERENCE BETWEEN
2250;R;esdot DotEqual doteq;HTML-MathML;equals, single dot above # Sm (≐) APPROACHES THE LIMIT
2251;R;eDot doteqdot;HTML-MathML;/doteqdot /Doteq equals, even dots # Sm (≑) GEOMETRICALLY EQUAL TO
2252;R;efDot fallingdotseq;HTML-MathML;equals, falling dots # Sm (≒) APPROXIMATELY EQUAL TO OR THE IMAGE OF
2253;R;erDot risingdotseq;HTML-MathML;equals, rising dots # Sm (≓) IMAGE OF OR APPROXIMATELY EQUAL TO
2254;R;colone coloneq Assign;HTML-MathML; # Sm (≔) COLON EQUALS
2255;R;ecolon eqcolon;HTML-MathML; # Sm (≕) EQUALS COLON
2256;R;ecir eqcirc;HTML-MathML;circle on equals sign # Sm (≖) RING IN EQUAL TO
2257;R;cire circeq;HTML-MathML;circle, equals # Sm (≗) RING EQUAL TO
2258;R;;;arc, equals # Sm (≘) CORRESPONDS TO
2259;R;wedgeq;HTML-MathML;corresponds to (wedge, equals) # Sm (≙) ESTIMATES
225A;R;veeeq;HTML-MathML;logical or, equals # Sm (≚) EQUIANGULAR TO
225B;R;;; # Sm (≛) STAR EQUALS
225C;R;trie triangleq;HTML-MathML;triangle, equals # Sm (≜) DELTA EQUAL TO
225D;R;;; # Sm (≝) EQUAL TO BY DEFINITION
225E;R;;;(m over equals) # Sm (≞) MEASURED BY
225F;R;equest questeq;HTML-MathML;equal with question mark # Sm (≟) QUESTIONED EQUAL TO
2260;R;ne NotEqual;HTML-MathML;/ne /neq # Sm (≠) NOT EQUAL TO
2261;R;equiv Congruent;HTML-MathML; # Sm (≡) IDENTICAL TO
2262;R;nequiv NotCongruent;HTML-MathML; # Sm (≢) NOT IDENTICAL TO
2263;R;;;(4 lines) # Sm (≣) STRICTLY EQUIVALENT TO
2264;R;le leq;HTML-MathML;/leq /le # Sm (≤) LESS-THAN OR EQUAL TO
2265;R;ge GreaterEqual geq;HTML-MathML;/geq /ge # Sm (≥) GREATER-THAN OR EQUAL TO
2266;R;lE LessFullEqual leqq;HTML-MathML;less, double equals # Sm (≦) LESS-THAN OVER EQUAL TO
2267;R;gE GreaterFullEqual geqq;HTML-MathML;greater, double equals # Sm (≧) GREATER-THAN OVER EQUAL TO
2268;R;lnE lneqq;HTML-MathML;less, not double equals # Sm (≨) LESS-THAN BUT NOT EQUAL TO
2269;R;gnE gneqq;HTML-MathML;greater, not double equals # Sm (≩) GREATER-THAN BUT NOT EQUAL TO
226A;R;Lt NestedLessLess ll;HTML-MathML;much less than, type 2 # Sm (≪) MUCH LESS-THAN
226B;R;Gt NestedGreaterGreater gg;HTML-MathML;much greater than, type 2 # Sm (≫) MUCH GREATER-THAN
226C;R;twixt between;HTML-MathML; # Sm (≬) BETWEEN
226D;R;NotCupCap;HTML-MathML;not asymptotically equal to # Sm (≭) NOT EQUIVALENT TO
226E;R;nlt NotLess nless;HTML-MathML; # Sm (≮) NOT LESS-THAN
226F;R;ngt NotGreater ngtr;HTML-MathML; # Sm (≯) NOT GREATER-THAN
2270;R;nle NotLessEqual nleq;HTML-MathML; # Sm (≰) NEITHER LESS-THAN NOR EQUAL TO
2271;R;nge NotGreaterEqual ngeq;HTML-MathML; # Sm (≱) NEITHER GREATER-THAN NOR EQUAL TO
2272;R;lsim LessTilde lesssim;HTML-MathML;less, similar # Sm (≲) LESS-THAN OR EQUIVALENT TO
2273;R;gsim gtrsim GreaterTilde;HTML-MathML;greater, similar # Sm (≳) GREATER-THAN OR EQUIVALENT TO
2274;R;nlsim NotLessTilde;HTML-MathML;not less, similar # Sm (≴) NEITHER LESS-THAN NOR EQUIVALENT TO
2275;R;ngsim NotGreaterTilde;HTML-MathML;not greater, similar # Sm (≵) NEITHER GREATER-THAN NOR EQUIVALENT TO
2276;R;lg lessgtr LessGreater;HTML-MathML;less, greater # Sm (≶) LESS-THAN OR GREATER-THAN
2277;R;gl gtrless GreaterLess;HTML-MathML;greater, less # Sm (≷) GREATER-THAN OR LESS-THAN
2278;R;ntlg NotLessGreater;HTML-MathML; # Sm (≸) NEITHER LESS-THAN NOR GREATER-THAN
2279;R;ntgl NotGreaterLess;HTML-MathML; # Sm (≹) NEITHER GREATER-THAN NOR LESS-THAN
227A;R;pr Precedes prec;HTML-MathML; # Sm (≺) PRECEDES
227B;R;sc Succeeds succ;HTML-MathML; # Sm (≻) SUCCEEDS
227C;R;prcue PrecedesSlantEqual preccurlyeq;HTML-MathML;precedes, curly equals # Sm (≼) PRECEDES OR EQUAL TO
227D;R;sccue SucceedsSlantEqual succcurlyeq;HTML-MathML;succeeds, curly equals # Sm (≽) SUCCEEDS OR EQUAL TO
227E;R;prsim precsim PrecedesTilde;HTML-MathML;precedes, similar # Sm (≾) PRECEDES OR EQUIVALENT TO
227F;R;scsim succsim SucceedsTilde;HTML-MathML;succeeds, similar # Sm (≿) SUCCEEDS OR EQUIVALENT TO
2280;R;npr nprec NotPrecedes;HTML-MathML;not precedes # Sm (⊀) DOES NOT PRECEDE
2281;R;nsc nsucc NotSucceeds;HTML-MathML;not succeeds # Sm (⊁) DOES NOT SUCCEED
2282;R;sub subset;HTML-MathML;subset or is implied by # Sm (⊂) SUBSET OF
2283;R;sup supset Superset;HTML-MathML;superset or implies # Sm (⊃) SUPERSET OF
2284;R;nsub;HTML-MathML; # Sm (⊄) NOT A SUBSET OF
2285;R;nsup;HTML-MathML; # Sm (⊅) NOT A SUPERSET OF
2286;R;sube SubsetEqual subseteq;HTML-MathML;subset, equals # Sm (⊆) SUBSET OF OR EQUAL TO
2287;R;supe supseteq SupersetEqual;HTML-MathML;superset, equals # Sm (⊇) SUPERSET OF OR EQUAL TO
2288;R;nsube nsubseteq NotSubsetEqual;HTML-MathML;not subset, equals # Sm (⊈) NEITHER A SUBSET OF NOR EQUAL TO
2289;R;nsupe nsupseteq NotSupersetEqual;HTML-MathML;not superset, equals # Sm (⊉) NEITHER A SUPERSET OF NOR EQUAL TO
228A;R;subne subsetneq;HTML-MathML;subset, not equals # Sm (⊊) SUBSET OF WITH NOT EQUAL TO
228B;R;supne supsetneq;HTML-MathML;superset, not equals # Sm (⊋) SUPERSET OF WITH NOT EQUAL TO
228C;B;;; # Sm (⊌) MULTISET
228D;B;cupdot;HTML-MathML;union, with dot # Sm (⊍) MULTISET MULTIPLICATION
228E;B;uplus UnionPlus;HTML-MathML;plus sign in union # Sm (⊎) MULTISET UNION
228F;R;sqsub SquareSubset sqsubset;HTML-MathML;square subset # Sm (⊏) SQUARE IMAGE OF
2290;R;sqsup SquareSuperset sqsupset;HTML-MathML;square superset # Sm (⊐) SQUARE ORIGINAL OF
2291;R;sqsube SquareSubsetEqual sqsubseteq;HTML-MathML;square subset, equals # Sm (⊑) SQUARE IMAGE OF OR EQUAL TO
2292;R;sqsupe SquareSupersetEqual sqsupseteq;HTML-MathML;square superset, equals # Sm (⊒) SQUARE ORIGINAL OF OR EQUAL TO
2293;B;sqcap SquareIntersection;HTML-MathML;square intersection # Sm (⊓) SQUARE CAP
2294;B;sqcup SquareUnion;HTML-MathML;square union # Sm (⊔) SQUARE CUP
2295;B;oplus CirclePlus;HTML-MathML;plus sign in circle # Sm (⊕) CIRCLED PLUS
2296;B;ominus CircleMinus;HTML-MathML;minus sign in circle # Sm (⊖) CIRCLED MINUS
2297;B;otimes CircleTimes;HTML-MathML;multiply sign in circle # Sm (⊗) CIRCLED TIMES
2298;B;osol;HTML-MathML;solidus in circle # Sm (⊘) CIRCLED DIVISION SLASH
2299;B;odot CircleDot;HTML-MathML;middle dot in circle # Sm (⊙) CIRCLED DOT OPERATOR
229A;B;ocir circledcirc;HTML-MathML;small circle in circle # Sm (⊚) CIRCLED RING OPERATOR
229B;B;oast circledast;HTML-MathML;asterisk in circle # Sm (⊛) CIRCLED ASTERISK OPERATOR
229C;B;;;equal in circle # Sm (⊜) CIRCLED EQUALS
229D;B;odash circleddash;HTML-MathML;hyphen in circle # Sm (⊝) CIRCLED DASH
229E;B;plusb boxplus;HTML-MathML;plus sign in box \boxplus # Sm (⊞) SQUARED PLUS
229F;B;minusb boxminus;HTML-MathML;minus sign in box \boxminus # Sm (⊟) SQUARED MINUS
22A0;B;timesb boxtimes;HTML-MathML;multiply sign in box \boxtimes # Sm (⊠) SQUARED TIMES
22A1;B;sdotb dotsquare;HTML-MathML;small dot in box \dotsquare \boxdot # Sm (⊡) SQUARED DOT OPERATOR
22A2;R;vdash RightTee;HTML-MathML;vertical, dash # Sm (⊢) RIGHT TACK
22A3;R;dashv LeftTee;HTML-MathML;dash, vertical # Sm (⊣) LEFT TACK
22A4;N;top DownTee;HTML-MathML;top # Sm (⊤) DOWN TACK
22A5;R;bottom bot perp UpTee;HTML-MathML;bottom # Sm (⊥) UP TACK
22A6;R;;;(vertical, short dash) # Sm (⊦) ASSERTION
22A7;R;models;HTML-MathML;(vertical, short double dash) # Sm (⊧) MODELS
22A8;R;vDash DoubleRightTee;HTML-MathML;vertical, double dash # Sm (⊨) TRUE
22A9;R;Vdash;HTML-MathML;double vertical, dash # Sm (⊩) FORCES
22AA;R;Vvdash;HTML-MathML;triple vertical, dash # Sm (⊪) TRIPLE VERTICAL BAR RIGHT TURNSTILE
22AB;R;VDash;HTML-MathML;double vert, double dash # Sm (⊫) DOUBLE VERTICAL BAR DOUBLE RIGHT TURNSTILE
22AC;R;nvdash;HTML-MathML;not vertical, dash # Sm (⊬) DOES NOT PROVE
22AD;R;nvDash;HTML-MathML;not vertical, double dash # Sm (⊭) NOT TRUE
22AE;R;nVdash;HTML-MathML;not double vertical, dash # Sm (⊮) DOES NOT FORCE
22AF;R;nVDash;HTML-MathML;not double vert, double dash # Sm (⊯) NEGATED DOUBLE VERTICAL BAR DOUBLE RIGHT TURNSTILE
22B0;R;prurel;HTML-MathML;element precedes under relation # Sm (⊰) PRECEDES UNDER RELATION
22B1;R;;; # Sm (⊱) SUCCEEDS UNDER RELATION
22B2;R;vltri vartriangleleft LeftTriangle;HTML-MathML;left triangle, open, variant # Sm (⊲) NORMAL SUBGROUP OF
22B3;R;vrtri vartriangleright RightTriangle;HTML-MathML;right triangle, open, variant # Sm (⊳) CONTAINS AS NORMAL SUBGROUP
22B4;R;ltrie trianglelefteq LeftTriangleEqual;HTML-MathML;left triangle, equals # Sm (⊴) NORMAL SUBGROUP OF OR EQUAL TO
22B5;R;rtrie trianglerighteq RightTriangleEqual;HTML-MathML;right triangle, equals # Sm (⊵) CONTAINS AS NORMAL SUBGROUP OR EQUAL TO
22B6;R;origof;HTML-MathML; # Sm (⊶) ORIGINAL OF
22B7;R;imof;HTML-MathML; # Sm (⊷) IMAGE OF
22B8;R;mumap multimap;HTML-MathML;/multimap # Sm (⊸) MULTIMAP
22B9;B;hercon;HTML-MathML; # Sm (⊹) HERMITIAN CONJUGATE MATRIX
22BA;B;intcal intercal;HTML-MathML;intercal # Sm (⊺) INTERCALATE
22BB;B;veebar;HTML-MathML;logical or, bar below (large vee), exclusive disjunction # Sm (⊻) XOR
22BC;B;;;bar, wedge (large wedge) # Sm (⊼) NAND
22BD;B;barvee;HTML-MathML;bar, vee (large vee) # Sm (⊽) NOR
22BE;N;angrtvb;HTML-MathML;right angle-measured [with arc] # Sm (⊾) RIGHT ANGLE WITH ARC
22BF;N;lrtri;HTML-MathML; # Sm (⊿) RIGHT TRIANGLE
22C0;L;xwedge Wedge bigwedge;HTML-MathML;logical or operator # Sm (⋀) N-ARY LOGICAL AND
22C1;L;xvee Vee bigvee;HTML-MathML;logical and operator # Sm (⋁) N-ARY LOGICAL OR
22C2;L;xcap Intersection bigcap;HTML-MathML;intersection operator # Sm (⋂) N-ARY INTERSECTION
22C3;L;xcup Union bigcup;HTML-MathML;union operator # Sm (⋃) N-ARY UNION
22C4;B;diam diamond Diamond;HTML-MathML;white diamond # Sm (⋄) DIAMOND OPERATOR
22C5;B;sdot;HTML-MathML;small middle dot # Sm (⋅) DOT OPERATOR
22C6;B;sstarf Star;HTML-MathML;small star, filled, low # Sm (⋆) STAR OPERATOR
22C7;B;divonx divideontimes;HTML-MathML;division on times # Sm (⋇) DIVISION TIMES
22C8;R;bowtie;HTML-MathML; # Sm (⋈) BOWTIE
22C9;B;ltimes;HTML-MathML;times sign, left closed # Sm (⋉) LEFT NORMAL FACTOR SEMIDIRECT PRODUCT
22CA;B;rtimes;HTML-MathML;times sign, right closed # Sm (⋊) RIGHT NORMAL FACTOR SEMIDIRECT PRODUCT
22CB;B;lthree leftthreetimes;HTML-MathML; # Sm (⋋) LEFT SEMIDIRECT PRODUCT
22CC;B;rthree rightthreetimes;HTML-MathML; # Sm (⋌) RIGHT SEMIDIRECT PRODUCT
22CD;R;bsime backsimeq;HTML-MathML;reverse similar, equals # Sm (⋍) REVERSED TILDE EQUALS
22CE;B;cuvee curlyvee;HTML-MathML; # Sm (⋎) CURLY LOGICAL OR
22CF;B;cuwed curlywedge;HTML-MathML; # Sm (⋏) CURLY LOGICAL AND
22D0;R;Sub Subset;HTML-MathML; # Sm (⋐) DOUBLE SUBSET
22D1;R;Sup Supset;HTML-MathML; # Sm (⋑) DOUBLE SUPERSET
22D2;B;Cap;HTML-MathML;/Cap /doublecap # Sm (⋒) DOUBLE INTERSECTION
22D3;B;Cup;HTML-MathML;/Cup /doublecup # Sm (⋓) DOUBLE UNION
22D4;R;fork pitchfork;HTML-MathML; # Sm (⋔) PITCHFORK
22D5;R;epar;HTML-MathML;parallel, equal # Sm (⋕) EQUAL AND PARALLEL TO
22D6;R;ltdot lessdot;HTML-MathML; # Sm (⋖) LESS-THAN WITH DOT
22D7;R;gtdot gtrdot;HTML-MathML; # Sm (⋗) GREATER-THAN WITH DOT
22D8;R;Ll;HTML-MathML;/Ll /lll /llless triple less-than # Sm (⋘) VERY MUCH LESS-THAN
22D9;R;Gg ggg;HTML-MathML;/ggg /Gg /gggtr triple greater-than # Sm (⋙) VERY MUCH GREATER-THAN
22DA;R;leg LessEqualGreater lesseqgtr;HTML-MathML;less, equals, greater # Sm (⋚) LESS-THAN EQUAL TO OR GREATER-THAN
22DB;R;gel gtreqless GreaterEqualLess;HTML-MathML;greater, equals, less # Sm (⋛) GREATER-THAN EQUAL TO OR LESS-THAN
22DC;R;;;equal-or-less # Sm (⋜) EQUAL TO OR LESS-THAN
22DD;R;;;equal-or-greater # Sm (⋝) EQUAL TO OR GREATER-THAN
22DE;R;cuepr curlyeqprec;HTML-MathML;curly equals, precedes # Sm (⋞) EQUAL TO OR PRECEDES
22DF;R;cuesc curlyeqsucc;HTML-MathML;curly equals, succeeds # Sm (⋟) EQUAL TO OR SUCCEEDS
22E0;R;nprcue NotPrecedesSlantEqual;HTML-MathML;not precedes, curly equals # Sm (⋠) DOES NOT PRECEDE OR EQUAL
22E1;R;nsccue NotSucceedsSlantEqual;HTML-MathML;not succeeds, curly equals # Sm (⋡) DOES NOT SUCCEED OR EQUAL
22E2;R;nsqsube NotSquareSubsetEqual;HTML-MathML;not, square subset, equals # Sm (⋢) NOT SQUARE IMAGE OF OR EQUAL TO
22E3;R;nsqsupe NotSquareSupersetEqual;HTML-MathML;not, square superset, equals # Sm (⋣) NOT SQUARE ORIGINAL OF OR EQUAL TO
22E4;R;;;square subset, not equals # Sm (⋤) SQUARE IMAGE OF OR NOT EQUAL TO
22E5;R;;;square superset, not equals # Sm (⋥) SQUARE ORIGINAL OF OR NOT EQUAL TO
22E6;R;lnsim;HTML-MathML;less, not similar # Sm (⋦) LESS-THAN BUT NOT EQUIVALENT TO
22E7;R;gnsim;HTML-MathML;greater, not similar # Sm (⋧) GREATER-THAN BUT NOT EQUIVALENT TO
22E8;R;prnsim precnsim;HTML-MathML;precedes, not similar # Sm (⋨) PRECEDES BUT NOT EQUIVALENT TO
22E9;R;scnsim succnsim;HTML-MathML;succeeds, not similar # Sm (⋩) SUCCEEDS BUT NOT EQUIVALENT TO
22EA;R;nltri ntriangleleft NotLeftTriangle;HTML-MathML;not left triangle # Sm (⋪) NOT NORMAL SUBGROUP OF
22EB;R;nrtri ntriangleright NotRightTriangle;HTML-MathML;not right triangle # Sm (⋫) DOES NOT CONTAIN AS NORMAL SUBGROUP
22EC;R;nltrie ntrianglelefteq NotLeftTriangleEqual;HTML-MathML;not left triangle, equals # Sm (⋬) NOT NORMAL SUBGROUP OF OR EQUAL TO
22ED;R;nrtrie ntrianglerighteq NotRightTriangleEqual;HTML-MathML;not right triangle, equals # Sm (⋭) DOES NOT CONTAIN AS NORMAL SUBGROUP OR EQUAL
22EE;R;vellip;HTML-MathML;vertical ellipsis # Sm (⋮) VERTICAL ELLIPSIS
22EF;R;ctdot;HTML-MathML;three dots, centered # Sm (⋯) MIDLINE HORIZONTAL ELLIPSIS
22F0;R;utdot;HTML-MathML;three dots, ascending # Sm (⋰) UP RIGHT DIAGONAL ELLIPSIS
22F1;R;dtdot;HTML-MathML;three dots, descending # Sm (⋱) DOWN RIGHT DIAGONAL ELLIPSIS
22F2;R;disin;HTML-MathML; # Sm (⋲) ELEMENT OF WITH LONG HORIZONTAL STROKE
22F3;R;isinsv;HTML-MathML; # Sm (⋳) ELEMENT OF WITH VERTICAL BAR AT END OF HORIZONTAL STROKE
22F4;R;isins;HTML-MathML; # Sm (⋴) SMALL ELEMENT OF WITH VERTICAL BAR AT END OF HORIZONTAL STROKE
22F5;R;isindot;HTML-MathML; # Sm (⋵) ELEMENT OF WITH DOT ABOVE
22F6;R;notinvc;HTML-MathML; # Sm (⋶) ELEMENT OF WITH OVERBAR
22F7;R;notinvb;HTML-MathML; # Sm (⋷) SMALL ELEMENT OF WITH OVERBAR
22F8;R;;; # Sm (⋸) ELEMENT OF WITH UNDERBAR
22F9;R;isinE;HTML-MathML; # Sm (⋹) ELEMENT OF WITH TWO HORIZONTAL STROKES
22FA;R;nisd;HTML-MathML; # Sm (⋺) CONTAINS WITH LONG HORIZONTAL STROKE
22FB;R;xnis;HTML-MathML; # Sm (⋻) CONTAINS WITH VERTICAL BAR AT END OF HORIZONTAL STROKE
22FC;R;nis;HTML-MathML; # Sm (⋼) SMALL CONTAINS WITH VERTICAL BAR AT END OF HORIZONTAL STROKE
22FD;R;notnivc;HTML-MathML; # Sm (⋽) CONTAINS WITH OVERBAR
22FE;R;notnivb;HTML-MathML; # Sm (⋾) SMALL CONTAINS WITH OVERBAR
22FF;R;;; # Sm (⋿) Z NOTATION BAG MEMBERSHIP
2300;N;;;2205 diameter sign # So (⌀) DIAMETER SIGN
2302;N;;; # So (⌂) HOUSE
2305;B;barwed barwedge;HTML-MathML; # So (⌅) PROJECTIVE
2306;B;Barwed doublebarwedge;HTML-MathML; # So (⌆) PERSPECTIVE
2308;O;lceil LeftCeiling;HTML-MathML; # Ps (⌈) LEFT CEILING
2309;C;rceil RightCeiling;HTML-MathML; # Pe (⌉) RIGHT CEILING
230A;O;lfloor LeftFloor;HTML-MathML; # Ps (⌊) LEFT FLOOR
230B;C;rfloor RightFloor;HTML-MathML; # Pe (⌋) RIGHT FLOOR
2310;N;bnot;HTML-MathML; # So (⌐) REVERSED NOT SIGN
2311;N;;; # So (⌑) SQUARE LOZENGE
2319;N;;; # So (⌙) TURNED NOT SIGN
231C;O;ulcorn ulcorner;HTML-MathML; # So (⌜) TOP LEFT CORNER
231D;C;urcorn urcorner;HTML-MathML; # So (⌝) TOP RIGHT CORNER
231E;O;dlcorn llcorner;HTML-MathML; # So (⌞) BOTTOM LEFT CORNER
231F;C;drcorn lrcorner;HTML-MathML; # So (⌟) BOTTOM RIGHT CORNER
2320;G;;;(integral parts) # Sm (⌠) TOP HALF INTEGRAL
2321;G;;;(integral parts) # Sm (⌡) BOTTOM HALF INTEGRAL
2322;R;frown sfrown;HTML-MathML;down curve # So (⌢) FROWN
2323;R;smile ssmile;HTML-MathML;up curve # So (⌣) SMILE
#2329;O;;;left angle bracket (deprecated for math use, use 27E8) # 
#232A;C;;;right angle bracket (deprecated for math use, use 27E9) # 
2336;N;topbot;HTML-MathML;top and bottom # So (⌶) APL FUNCTIONAL SYMBOL I-BEAM
233D;B;ovbar;HTML-MathML;circle with vertical bar # So (⌽) APL FUNCTIONAL SYMBOL CIRCLE STILE
233F;R;solbar;HTML-MathML;solidus, bar through # So (⌿) APL FUNCTIONAL SYMBOL SLASH BAR
237C;R;angzarr;HTML-MathML; # Sm (⍼) RIGHT ANGLE WITH DOWNWARDS ZIGZAG ARROW
2394;N;;;horizontal benzene ring [hexagon flat open] # So (⎔) SOFTWARE-FUNCTION SYMBOL
239B;G;;;(bracket parts) # Sm (⎛) LEFT PARENTHESIS UPPER HOOK
239C;G;;;(bracket parts) # Sm (⎜) LEFT PARENTHESIS EXTENSION
239D;G;;;(bracket parts) # Sm (⎝) LEFT PARENTHESIS LOWER HOOK
239E;G;;;(bracket parts) # Sm (⎞) RIGHT PARENTHESIS UPPER HOOK
239F;G;;;(bracket parts) # Sm (⎟) RIGHT PARENTHESIS EXTENSION
23A0;G;;;(bracket parts) # Sm (⎠) RIGHT PARENTHESIS LOWER HOOK
23A1;G;;;(bracket parts) # Sm (⎡) LEFT SQUARE BRACKET UPPER CORNER
23A2;G;;;(bracket parts) # Sm (⎢) LEFT SQUARE BRACKET EXTENSION
23A3;G;;;(bracket parts) # Sm (⎣) LEFT SQUARE BRACKET LOWER CORNER
23A4;G;;;(bracket parts) # Sm (⎤) RIGHT SQUARE BRACKET UPPER CORNER
23A5;G;;;(bracket parts) # Sm (⎥) RIGHT SQUARE BRACKET EXTENSION
23A6;G;;;(bracket parts) # Sm (⎦) RIGHT SQUARE BRACKET LOWER CORNER
23A7;G;;;(bracket parts) # Sm (⎧) LEFT CURLY BRACKET UPPER HOOK
23A8;G;;;(bracket parts) # Sm (⎨) LEFT CURLY BRACKET MIDDLE PIECE
23A9;G;;;(bracket parts) # Sm (⎩) LEFT CURLY BRACKET LOWER HOOK
23AA;G;;;(bracket parts) # Sm (⎪) CURLY BRACKET EXTENSION
23AB;G;;;(bracket parts) # Sm (⎫) RIGHT CURLY BRACKET UPPER HOOK
23AC;G;;;(bracket parts) # Sm (⎬) RIGHT CURLY BRACKET MIDDLE PIECE
23AD;G;;;(bracket parts) # Sm (⎭) RIGHT CURLY BRACKET LOWER HOOK
23AE;G;;;(bracket parts) # Sm (⎮) INTEGRAL EXTENSION
23AF;G;;;(bracket parts) # Sm (⎯) HORIZONTAL LINE EXTENSION
23B0;R;lmoust lmoustache;HTML-MathML; # Sm (⎰) UPPER LEFT OR LOWER RIGHT CURLY BRACKET SECTION
23B1;R;rmoust rmoustache;HTML-MathML; # Sm (⎱) UPPER RIGHT OR LOWER LEFT CURLY BRACKET SECTION
23B2;G;;;(summation parts) # Sm (⎲) SUMMATION TOP
23B3;G;;;(summation parts) # Sm (⎳) SUMMATION BOTTOM
23B4;N;tbrk OverBracket;HTML-MathML; # So (⎴) TOP SQUARE BRACKET
23B5;N;bbrk UnderBracket;HTML-MathML; # So (⎵) BOTTOM SQUARE BRACKET
23B6;N;bbrktbrk;HTML-MathML; # So (⎶) BOTTOM SQUARE BRACKET OVER TOP SQUARE BRACKET
23B7;G;;;(square root part) # So (⎷) RADICAL SYMBOL BOTTOM
23D0;G;;;(vertical line extension) # So (⏐) VERTICAL LINE EXTENSION
23DC;N;OverParenthesis;HTML-MathML;over parenthesis # Sm (⏜) TOP PARENTHESIS
23DD;N;UnderParenthesis;HTML-MathML;under parenthesis # Sm (⏝) BOTTOM PARENTHESIS
23DE;N;OverBrace;HTML-MathML;over brace # Sm (⏞) TOP CURLY BRACKET
23DF;N;UnderBrace;HTML-MathML;under brace # Sm (⏟) BOTTOM CURLY BRACKET
23E0;N;;; # Sm (⏠) TOP TORTOISE SHELL BRACKET
23E1;N;;; # Sm (⏡) BOTTOM TORTOISE SHELL BRACKET
23E2;N;trpezium;HTML-MathML; # So (⏢) WHITE TRAPEZIUM
23E3;N;;; # So (⏣) BENZENE RING WITH CIRCLE
23E4;N;;; # So (⏤) STRAIGHTNESS
23E5;N;;; # So (⏥) FLATNESS
23E6;N;;; # So (⏦) AC CURRENT
23E7;N;elinters;HTML-MathML; # So (⏧) ELECTRICAL INTERSECTION
24C8;N;oS circledS;HTML-MathML;capital S in circle # So (Ⓢ) CIRCLED LATIN CAPITAL LETTER S
25A0;N;;;square, filled # So (■) BLACK SQUARE
