5DB9	8D66
5DC1	9654
5DD7	FBE8
5DDB	C6CC
5DF5	9FCE
5E09	FBFC
5E0B	9AE4
5E12	9F75
5E2E	FBF1
5E42	8D69
5E48	934F
5E5E	934E
5E7A	FBF4
5E7F	C6CE
5E83	FBC3
5E86	8965
5E92	8C7A
5E99	8C7B
5EBD	8D6A
5ECD	9353
5ED0	9DFB
5EF4	FBFD
5EF8	9059
5EF9	FC40
5EFB	FC41
5EFC	FC43
5F0C	9361
5F0D	FC46
5F0E	9362
5F25	8D6B
5F3A	FC4C
5F3B	8CFE
5F4D	95B8
5F50	C6D0
5F51	8BCA
5F5C	987A
5F61	C6D1
5F63	FC51
5F72	FC54
5F7B	FAAF
5F83	8D6C
5FA4	FA61
5FA7	FC57
5FB1	9B70
5FBA	A051
5FC2	8C7C
5FC4	8BCB
5FDB	936E
5FDF	FCD5
6023	FCA9
6031	FC61
603B	8966
604A	FACB
6052	F9DA
6075	937A
6077	A0E0
607E	936B
609E	FC6B
60A4	A0DC
60A7	9468
60B3	FC6D
60D7	8D71
60DE	FD64
60E3	99BA
60E7	9AD0
60E8	9A61
60E9	A0E5
60FD	A05B
6107	96AC
610C	9740
6119	9EF1
6122	8C4D
6130	9F7E
613D	8D72
6142	FC76
6150	96A9
6159	A06E
615C	FCAA
6160	FBCD
6164	FC74
616F	A074
617D	A071
6181	FC79
6187	FC7C
6195	9C50
6198	9379
6199	9378
619C	A0DD
61B7	8D75
61B9	8D76
61C0	9374
61CF	8D77
61D0	FCA5
61D3	FCA2
61DA	90C3
61E2	A079
622C	8D79
6237	8BFC
6239	A076
624C	8BCD
6268	9F5A
6282	9FF4
6285	9FBA
6290	8D7A
629D	9E45
62A4	93B0
62A6	A075
62C1	87DD
62C3	9B46
62C5	FCAE
62D5	FCB0
62DF	FA51
62E5	8D7B
6318	8D7C
632E	9ED6
6331	93AC
6335	9F5B
6337	93A9
6364	A07C
636C	FCB2
6379	8AC1
637F	9FB4
638B	FCAC
63B9	9E4C
63C1	8FC5
63D1	93AD
63DE	9DC3
63E2	8DA2
63E6	9D4A
63F8	FCB6
63FB	8DA3
63FC	9E4B
63FE	9E4D
6407	8DA4
6432	8AFD
6438	FCB5
643A	FCC3
643B	93B2
645A	8DA5
6471	93A1
647C	8AC6
648D	8A5B
6491	894D
64AF	FED4
64B4	8A78
64B6	93AB
64C0	8DA7
64D3	9F45
64DD	8A56
64E1	FCBF
64E5	FCC0
