# Source File for IDN Confusables
# File: formatted-arabic.txt
# Version: 3.0-draft
# Generated: 2012-05-07, 05:21:19 GMT
# Checkin: $Revision: 1.32 $
#
# For documentation and usage, see http://www.unicode.org/reports/tr39/
#
002A ;	066D	#* ( * ~ ‎٭‎ ) ASTERISK ~ ARABIC FIVE POINTED STAR
0637 08EB ;	08A3	# ( ‎ط࣫‎ ~ ‎ࢣ‎ ) ARABIC LETTER TAH, ARABIC TONE TWO DOTS ABOVE ~ ARABIC LETTER TAH WITH TWO DOTS ABOVE

0639 ;	0858	# ( ‎ع‎ ~ ‎ࡘ‎ ) ARABIC LETTER AIN ~ MANDAIC LETTER AIN
0639 ;	060F	# ( ‎ع‎ ~ ؏ ) ARABIC LETTER AIN ~ ARABIC SIGN MISRA

0639 06DB ;	06A0	# ( ‎عۛ‎ ~ ‎ڠ‎ ) ARABIC LETTER AIN, ARABIC SMALL HIGH THREE DOTS ~ ARABIC LETTER AIN WITH THREE DOTS ABOVE

0639 06EC ;	063A	# ( ‎ع۬‎ ~ ‎غ‎ ) ARABIC LETTER AIN, ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE ~ ARABIC LETTER GHAIN

0639 08EB ;	075D	# ( ‎ع࣫‎ ~ ‎ݝ‎ ) ARABIC LETTER AIN, ARABIC TONE TWO DOTS ABOVE ~ ARABIC LETTER AIN WITH TWO DOTS ABOVE

063A 065C ;	06FC	# ( ‎غٜ‎ ~ ‎ۼ‎ ) ARABIC LETTER GHAIN, ARABIC VOWEL SIGN DOT BELOW ~ ARABIC LETTER GHAIN WITH DOT BELOW

063A 06EC ;	075F	# ( ‎غ۬‎ ~ ‎ݟ‎ ) ARABIC LETTER GHAIN, ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE ~ ARABIC LETTER AIN WITH TWO DOTS VERTICALLY ABOVE

063A 08EB ;	075E	# ( ‎غ࣫‎ ~ ‎ݞ‎ ) ARABIC LETTER GHAIN, ARABIC TONE TWO DOTS ABOVE ~ ARABIC LETTER AIN WITH THREE DOTS POINTING DOWNWARDS ABOVE

063B ;	077F	# ( ‎ػ‎ ~ ‎ݿ‎ ) ARABIC LETTER KEHEH WITH TWO DOTS ABOVE ~ ARABIC LETTER KAF WITH TWO DOTS ABOVE

063C ;	06AE	# ( ‎ؼ‎ ~ ‎ڮ‎ ) ARABIC LETTER KEHEH WITH THREE DOTS BELOW ~ ARABIC LETTER KAF WITH THREE DOTS BELOW

0640 ;	07FA	# ( ‎ـ‎ ~ ‎ߺ‎ ) ARABIC TATWEEL ~ NKO LAJANYALAN
0640 ;	06D4	# ( ‎ـ‎ ~ ‎۔‎ ) ARABIC TATWEEL ~ ARABIC FULL STOP

0641 ;	06A7	# ( ‎ف‎ ~ ‎ڧ‎ ) ARABIC LETTER FEH ~ ARABIC LETTER QAF WITH DOT ABOVE

0641 0656 ;	060B	# ( ‎فٖ‎ ~ ‎؋‎ ) ARABIC LETTER FEH, ARABIC SUBSCRIPT ALEF ~ AFGHANI SIGN

0641 065C ;	06A3	# ( ‎فٜ‎ ~ ‎ڣ‎ ) ARABIC LETTER FEH, ARABIC VOWEL SIGN DOT BELOW ~ ARABIC LETTER FEH WITH DOT BELOW

0642 065C ;	08A5	# ( ‎قٜ‎ ~ ‎ࢥ‎ ) ARABIC LETTER QAF, ARABIC VOWEL SIGN DOT BELOW ~ ARABIC LETTER QAF WITH DOT BELOW

0643 ;	06A9	# ( ‎ك‎ ~ ‎ک‎ ) ARABIC LETTER KAF ~ ARABIC LETTER KEHEH

0643 06DB ;	06AD	# ( ‎كۛ‎ ~ ‎ڭ‎ ) ARABIC LETTER KAF, ARABIC SMALL HIGH THREE DOTS ~ ARABIC LETTER NG

0643 06EC ;	06AC	# ( ‎ك۬‎ ~ ‎ڬ‎ ) ARABIC LETTER KAF, ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE ~ ARABIC LETTER KAF WITH DOT ABOVE

0643 08EB ;	077F	# ( ‎ك࣫‎ ~ ‎ݿ‎ ) ARABIC LETTER KAF, ARABIC TONE TWO DOTS ABOVE ~ ARABIC LETTER KAF WITH TWO DOTS ABOVE

0643 08EE 08ED ;	06AE	# ( ‎ك࣮࣭‎ ~ ‎ڮ‎ ) ARABIC LETTER KAF, ARABIC TONE TWO DOTS BELOW, ARABIC TONE ONE DOT BELOW ~ ARABIC LETTER KAF WITH THREE DOTS BELOW

0644 ;	084B	# ( ‎ل‎ ~ ‎ࡋ‎ ) ARABIC LETTER LAM ~ MANDAIC LETTER AL

0644 065A ;	06B5	# ( ‎لٚ‎ ~ ‎ڵ‎ ) ARABIC LETTER LAM, ARABIC VOWEL SIGN SMALL V ABOVE ~ ARABIC LETTER LAM WITH SMALL V

0644 06DB ;	06B7	# ( ‎لۛ‎ ~ ‎ڷ‎ ) ARABIC LETTER LAM, ARABIC SMALL HIGH THREE DOTS ~ ARABIC LETTER LAM WITH THREE DOTS ABOVE

0644 06EC ;	06B6	# ( ‎ل۬‎ ~ ‎ڶ‎ ) ARABIC LETTER LAM, ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE ~ ARABIC LETTER LAM WITH DOT ABOVE

0644 08EE 08ED ;	06B8	# ( ‎ل࣮࣭‎ ~ ‎ڸ‎ ) ARABIC LETTER LAM, ARABIC TONE TWO DOTS BELOW, ARABIC TONE ONE DOT BELOW ~ ARABIC LETTER LAM WITH THREE DOTS BELOW

0645 0348 ;	06FE	# ( ‎م͈‎ ~ ‎۾‎ ) ARABIC LETTER MEEM, COMBINING DOUBLE VERTICAL LINE BELOW ~ ARABIC SIGN SINDHI POSTPOSITION MEN

0645 062D ;	1EEF0	# ( ‎مح‎ ~ 𞻰 ) ARABIC LETTER MEEM, ARABIC LETTER HAH ~ ARABIC MATHEMATICAL OPERATOR MEEM WITH HAH WITH TATWEEL

0645 062D 0640 ;	1EEF0	# ( ‎محـ‎ ~ 𞻰 ) ARABIC LETTER MEEM, ARABIC LETTER HAH, ARABIC TATWEEL ~ ARABIC MATHEMATICAL OPERATOR MEEM WITH HAH WITH TATWEEL

0645 065C ;	0766	# ( ‎مٜ‎ ~ ‎ݦ‎ ) ARABIC LETTER MEEM, ARABIC VOWEL SIGN DOT BELOW ~ ARABIC LETTER MEEM WITH DOT BELOW

0645 06DB ;	08A7	# ( ‎مۛ‎ ~ ‎ࢧ‎ ) ARABIC LETTER MEEM, ARABIC SMALL HIGH THREE DOTS ~ ARABIC LETTER MEEM WITH THREE DOTS ABOVE

0645 06EC ;	0765	# ( ‎م۬‎ ~ ‎ݥ‎ ) ARABIC LETTER MEEM, ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE ~ ARABIC LETTER MEEM WITH DOT ABOVE

0646 0615 ;	0768	# ( ‎نؕ‎ ~ ‎ݨ‎ ) ARABIC LETTER NOON, ARABIC SMALL HIGH TAH ~ ARABIC LETTER NOON WITH SMALL TAH

0646 065A ;	0769	# ( ‎نٚ‎ ~ ‎ݩ‎ ) ARABIC LETTER NOON, ARABIC VOWEL SIGN SMALL V ABOVE ~ ARABIC LETTER NOON WITH SMALL V

0646 065C ;	06B9	# ( ‎نٜ‎ ~ ‎ڹ‎ ) ARABIC LETTER NOON, ARABIC VOWEL SIGN DOT BELOW ~ ARABIC LETTER NOON WITH DOT BELOW

0646 06EA ;	06BC	# ( ‎ن۪‎ ~ ‎ڼ‎ ) ARABIC LETTER NOON, ARABIC EMPTY CENTRE LOW STOP ~ ARABIC LETTER NOON WITH RING

0646 08EE ;	0767	# ( ‎ن࣮‎ ~ ‎ݧ‎ ) ARABIC LETTER NOON, ARABIC TONE TWO DOTS BELOW ~ ARABIC LETTER NOON WITH TWO DOTS BELOW

0647 ;	0665	# ( ‎ه‎ ~ ‎٥‎ ) ARABIC LETTER HEH ~ ARABIC-INDIC DIGIT FIVE
0647 ;	06BE	# ( ‎ه‎ ~ ‎ھ‎ ) ARABIC LETTER HEH ~ ARABIC LETTER HEH DOACHASHMEE
0647 ;	06C1	# ( ‎ه‎ ~ ‎ہ‎ ) ARABIC LETTER HEH ~ ARABIC LETTER HEH GOAL
0647 ;	06D5	# ( ‎ه‎ ~ ‎ە‎ ) ARABIC LETTER HEH ~ ARABIC LETTER AE
0647 ;	0840	# ( ‎ه‎ ~ ‎ࡀ‎ ) ARABIC LETTER HEH ~ MANDAIC LETTER HALQA

0647 065B ;	06FF	# ( ‎هٛ‎ ~ ‎ۿ‎ ) ARABIC LETTER HEH, ARABIC VOWEL SIGN INVERTED SMALL V ABOVE ~ ARABIC LETTER HEH WITH INVERTED V

0647 08EB ;	0629	# ( ‎ه࣫‎ ~ ‎ة‎ ) ARABIC LETTER HEH, ARABIC TONE TWO DOTS ABOVE ~ ARABIC LETTER TEH MARBUTA

0648 ;	0608	# ( ‎و‎ ~ ‎؈‎ ) ARABIC LETTER WAW ~ ARABIC RAY

0648 064F ;	06C7	# ( ‎وُ‎ ~ ‎ۇ‎ ) ARABIC LETTER WAW, ARABIC DAMMA ~ ARABIC LETTER U

0648 065A ;	06C6	# ( ‎وٚ‎ ~ ‎ۆ‎ ) ARABIC LETTER WAW, ARABIC VOWEL SIGN SMALL V ABOVE ~ ARABIC LETTER OE

0648 065B ;	06C9	# ( ‎وٛ‎ ~ ‎ۉ‎ ) ARABIC LETTER WAW, ARABIC VOWEL SIGN INVERTED SMALL V ABOVE ~ ARABIC LETTER KIRGHIZ YU

0648 0670 ;	06C8	# ( ‎وٰ‎ ~ ‎ۈ‎ ) ARABIC LETTER WAW, ARABIC LETTER SUPERSCRIPT ALEF ~ ARABIC LETTER YU

0648 06DB ;	06CB	# ( ‎وۛ‎ ~ ‎ۋ‎ ) ARABIC LETTER WAW, ARABIC SMALL HIGH THREE DOTS ~ ARABIC LETTER VE

0648 06EC ;	06CF	# ( ‎و۬‎ ~ ‎ۏ‎ ) ARABIC LETTER WAW, ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE ~ ARABIC LETTER WAW WITH DOT ABOVE

0648 08EB ;	06CA	# ( ‎و࣫‎ ~ ‎ۊ‎ ) ARABIC LETTER WAW, ARABIC TONE TWO DOTS ABOVE ~ ARABIC LETTER WAW WITH TWO DOTS ABOVE

0649 ;	064A	# ( ‎ى‎ ~ ‎ي‎ ) ARABIC LETTER ALEF MAKSURA ~ ARABIC LETTER YEH
0649 ;	06BA	# ( ‎ى‎ ~ ‎ں‎ ) ARABIC LETTER ALEF MAKSURA ~ ARABIC LETTER NOON GHUNNA
0649 ;	06CC	# ( ‎ى‎ ~ ‎ی‎ ) ARABIC LETTER ALEF MAKSURA ~ ARABIC LETTER FARSI YEH
0649 ;	06D2	# ( ‎ى‎ ~ ‎ے‎ ) ARABIC LETTER ALEF MAKSURA ~ ARABIC LETTER YEH BARREE
0649 ;	066E	# ( ‎ى‎ ~ ‎ٮ‎ ) ARABIC LETTER ALEF MAKSURA ~ ARABIC LETTER DOTLESS BEH

0649 0615 ;	0679	# ( ‎ىؕ‎ ~ ‎ٹ‎ ) ARABIC LETTER ALEF MAKSURA, ARABIC SMALL HIGH TAH ~ ARABIC LETTER TTEH
0649 0615 ;	06BB	# ( ‎ىؕ‎ ~ ‎ڻ‎ ) ARABIC LETTER ALEF MAKSURA, ARABIC SMALL HIGH TAH ~ ARABIC LETTER RNOON

0649 065C 065C ;	06D0	# ( ‎ىٜٜ‎ ~ ‎ې‎ ) ARABIC LETTER ALEF MAKSURA, ARABIC VOWEL SIGN DOT BELOW, ARABIC VOWEL SIGN DOT BELOW ~ ARABIC LETTER E

0649 06EA ;	0620	# ( ‎ى۪‎ ~ ‎ؠ‎ ) ARABIC LETTER ALEF MAKSURA, ARABIC EMPTY CENTRE LOW STOP ~ ARABIC LETTER KASHMIRI YEH

0649 08EE ;	064A	# ( ‎ى࣮‎ ~ ‎ي‎ ) ARABIC LETTER ALEF MAKSURA, ARABIC TONE TWO DOTS BELOW ~ ARABIC LETTER YEH

0649 08EE 08EE ;	06D1	# ( ‎ى࣮࣮‎ ~ ‎ۑ‎ ) ARABIC LETTER ALEF MAKSURA, ARABIC TONE TWO DOTS BELOW, ARABIC TONE TWO DOTS BELOW ~ ARABIC LETTER YEH WITH THREE DOTS BELOW

064A ;	06CC	# ( ‎ي‎ ~ ‎ی‎ ) ARABIC LETTER YEH ~ ARABIC LETTER FARSI YEH
064A ;	06D2	# ( ‎ي‎ ~ ‎ے‎ ) ARABIC LETTER YEH ~ ARABIC LETTER YEH BARREE

064A 0654 ;	08A8	# ( ‎ئ‎ ~ ‎ࢨ‎ ) ARABIC LETTER YEH, ARABIC HAMZA ABOVE ~ ARABIC LETTER YEH WITH TWO DOTS BELOW AND HAMZA ABOVE

064A 06EC ;	08A9	# ( ‎ي۬‎ ~ ‎ࢩ‎ ) ARABIC LETTER YEH, ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE ~ ARABIC LETTER YEH WITH TWO DOTS BELOW AND DOT ABOVE

064B ;	07A7	# ( ً ~ ާ ) ARABIC FATHATAN ~ THAANA AABAAFILI
064B ;	08F0	# ( ً ~ ࣰ ) ARABIC FATHATAN ~ ARABIC OPEN FATHATAN

064C ;	08E8	# ( ٌ ~ ࣨ ) ARABIC DAMMATAN ~ ARABIC CURLY DAMMATAN
064C ;	08F1	# ( ٌ ~ ࣱ ) ARABIC DAMMATAN ~ ARABIC OPEN DAMMATAN

064D ;	07A9	# ( ٍ ~ ީ ) ARABIC KASRATAN ~ THAANA EEBEEFILI
064D ;	08F2	# ( ٍ ~ ࣲ ) ARABIC KASRATAN ~ ARABIC OPEN KASRATAN

064E ;	07A6	# ( َ ~ ަ ) ARABIC FATHA ~ THAANA ABAFILI
064E ;	0618	# ( َ ~ ؘ ) ARABIC FATHA ~ ARABIC SMALL FATHA

064E 08EA ;	08F5	# ( َ࣪ ~ ࣵ ) ARABIC FATHA, ARABIC TONE ONE DOT ABOVE ~ ARABIC FATHA WITH DOT ABOVE

064F ;	0619	# ( ُ ~ ؙ ) ARABIC DAMMA ~ ARABIC SMALL DAMMA
064F ;	08E5	# ( ُ ~ ࣥ ) ARABIC DAMMA ~ ARABIC CURLY DAMMA
064F ;	08F3	# ( ُ ~ ࣳ ) ARABIC DAMMA ~ ARABIC SMALL HIGH WAW

064F 08EA ;	08FE	# ( ُ࣪ ~ ࣾ ) ARABIC DAMMA, ARABIC TONE ONE DOT ABOVE ~ ARABIC DAMMA WITH DOT

0650 ;	07A8	# ( ِ ~ ި ) ARABIC KASRA ~ THAANA IBIFILI
0650 ;	0317	# ( ِ ~ ̗ ) ARABIC KASRA ~ COMBINING ACUTE ACCENT BELOW
0650 ;	061A	# ( ِ ~ ؚ ) ARABIC KASRA ~ ARABIC SMALL KASRA

0650 08ED ;	08F6	# ( ِ࣭ ~ ࣶ ) ARABIC KASRA, ARABIC TONE ONE DOT BELOW ~ ARABIC KASRA WITH DOT BELOW

0651 ;	1DD3	# ( ّ ~ ᷓ ) ARABIC SHADDA ~ COMBINING LATIN SMALL LETTER FLATTENED OPEN A ABOVE

0652 ;	07B0	# ( ْ ~ ް ) ARABIC SUKUN ~ THAANA SUKUN
0652 ;	06DF	# ( ْ ~ ۟ ) ARABIC SUKUN ~ ARABIC SMALL HIGH ROUNDED ZERO
0652 ;	06E0	# ( ْ ~ ۠ ) ARABIC SUKUN ~ ARABIC SMALL HIGH UPRIGHT RECTANGULAR ZERO
0652 ;	06E1	# ( ْ ~ ۡ ) ARABIC SUKUN ~ ARABIC SMALL HIGH DOTLESS HEAD OF KHAH
0652 ;	06EB	# ( ْ ~ ۫ ) ARABIC SUKUN ~ ARABIC EMPTY CENTRE HIGH STOP

0653 ;	06E4	# ( ٓ ~ ۤ ) ARABIC MADDAH ABOVE ~ ARABIC SMALL HIGH MADDA
0653 ;	08E4	# ( ٓ ~ ࣤ ) ARABIC MADDAH ABOVE ~ ARABIC CURLY FATHA

0655 ;	065F	# ( ٕ ~ ٟ ) ARABIC HAMZA BELOW ~ ARABIC WAVY HAMZA BELOW

065C ;	08ED	# ( ٜ ~ ࣭ ) ARABIC VOWEL SIGN DOT BELOW ~ ARABIC TONE ONE DOT BELOW

065E ;	1DC1	# ( ٞ ~ ᷁ ) ARABIC FATHA WITH TWO DOTS ~ COMBINING DOTTED ACUTE ACCENT

0660 ;	06F0	# ( ‎٠‎ ~ ۰ ) ARABIC-INDIC DIGIT ZERO ~ EXTENDED ARABIC-INDIC DIGIT ZERO

0661 ;	06F1	# ( ‎١‎ ~ ۱ ) ARABIC-INDIC DIGIT ONE ~ EXTENDED ARABIC-INDIC DIGIT ONE

0662 ;	06F2	# ( ‎٢‎ ~ ۲ ) ARABIC-INDIC DIGIT TWO ~ EXTENDED ARABIC-INDIC DIGIT TWO

0663 ;	06F3	# ( ‎٣‎ ~ ۳ ) ARABIC-INDIC DIGIT THREE ~ EXTENDED ARABIC-INDIC DIGIT THREE

0664 ;	06F4	# ( ‎٤‎ ~ ۴ ) ARABIC-INDIC DIGIT FOUR ~ EXTENDED ARABIC-INDIC DIGIT FOUR

0665 ;	06F5	# ( ‎٥‎ ~ ۵ ) ARABIC-INDIC DIGIT FIVE ~ EXTENDED ARABIC-INDIC DIGIT FIVE

0666 ;	06F6	# ( ‎٦‎ ~ ۶ ) ARABIC-INDIC DIGIT SIX ~ EXTENDED ARABIC-INDIC DIGIT SIX

0667 ;	06F7	# ( ‎٧‎ ~ ۷ ) ARABIC-INDIC DIGIT SEVEN ~ EXTENDED ARABIC-INDIC DIGIT SEVEN

0668 ;	06F8	# ( ‎٨‎ ~ ۸ ) ARABIC-INDIC DIGIT EIGHT ~ EXTENDED ARABIC-INDIC DIGIT EIGHT
0668 ;	039B	# ( ‎٨‎ ~ Λ ) ARABIC-INDIC DIGIT EIGHT ~ GREEK CAPITAL LETTER LAMDA

0669 ;	06F9	# ( ‎٩‎ ~ ۹ ) ARABIC-INDIC DIGIT NINE ~ EXTENDED ARABIC-INDIC DIGIT NINE
0669 ;	0967	# ( ‎٩‎ ~ १ ) ARABIC-INDIC DIGIT NINE ~ DEVANAGARI DIGIT ONE
0669 ;	09ED	# ( ‎٩‎ ~ ৭ ) ARABIC-INDIC DIGIT NINE ~ BENGALI DIGIT SEVEN
0669 ;	0A67	# ( ‎٩‎ ~ ੧ ) ARABIC-INDIC DIGIT NINE ~ GURMUKHI DIGIT ONE
0669 ;	0AE7	# ( ‎٩‎ ~ ૧ ) ARABIC-INDIC DIGIT NINE ~ GUJARATI DIGIT ONE

066A ;	2052	#* ( ٪ ~ ⁒ ) ARABIC PERCENT SIGN ~ COMMERCIAL MINUS SIGN

066D ;	2733	#* ( ‎٭‎ ~ ✳ ) ARABIC FIVE POINTED STAR ~ EIGHT SPOKED ASTERISK

066E 032C ;	08A0	# ( ‎ٮ̬‎ ~ ‎ࢠ‎ ) ARABIC LETTER DOTLESS BEH, COMBINING CARON BELOW ~ ARABIC LETTER BEH WITH SMALL V BELOW

066E 032D ;	0755	# ( ‎ٮ̭‎ ~ ‎ݕ‎ ) ARABIC LETTER DOTLESS BEH, COMBINING CIRCUMFLEX ACCENT BELOW ~ ARABIC LETTER BEH WITH INVERTED SMALL V BELOW

066E 0615 ;	0679	# ( ‎ٮؕ‎ ~ ‎ٹ‎ ) ARABIC LETTER DOTLESS BEH, ARABIC SMALL HIGH TAH ~ ARABIC LETTER TTEH
066E 0615 ;	06BB	# ( ‎ٮؕ‎ ~ ‎ڻ‎ ) ARABIC LETTER DOTLESS BEH, ARABIC SMALL HIGH TAH ~ ARABIC LETTER RNOON

066E 065A ;	0756	# ( ‎ٮٚ‎ ~ ‎ݖ‎ ) ARABIC LETTER DOTLESS BEH, ARABIC VOWEL SIGN SMALL V ABOVE ~ ARABIC LETTER BEH WITH SMALL V

066E 065C ;	0628	# ( ‎ٮٜ‎ ~ ‎ب‎ ) ARABIC LETTER DOTLESS BEH, ARABIC VOWEL SIGN DOT BELOW ~ ARABIC LETTER BEH

066E 065C 065C ;	067B	# ( ‎ٮٜٜ‎ ~ ‎ٻ‎ ) ARABIC LETTER DOTLESS BEH, ARABIC VOWEL SIGN DOT BELOW, ARABIC VOWEL SIGN DOT BELOW ~ ARABIC LETTER BEEH

066E 06DB ;	062B	# ( ‎ٮۛ‎ ~ ‎ث‎ ) ARABIC LETTER DOTLESS BEH, ARABIC SMALL HIGH THREE DOTS ~ ARABIC LETTER THEH

066E 06EC 06EC ;	067A	# ( ‎ٮ۬۬‎ ~ ‎ٺ‎ ) ARABIC LETTER DOTLESS BEH, ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE, ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE ~ ARABIC LETTER TTEHEH

066E 08EA 08EB ;	067D	# ( ‎ٮ࣪࣫‎ ~ ‎ٽ‎ ) ARABIC LETTER DOTLESS BEH, ARABIC TONE ONE DOT ABOVE, ARABIC TONE TWO DOTS ABOVE ~ ARABIC LETTER TEH WITH THREE DOTS ABOVE DOWNWARDS

066E 08EB ;	062A	# ( ‎ٮ࣫‎ ~ ‎ت‎ ) ARABIC LETTER DOTLESS BEH, ARABIC TONE TWO DOTS ABOVE ~ ARABIC LETTER TEH

066E 08EB 08EB ;	067F	# ( ‎ٮ࣫࣫‎ ~ ‎ٿ‎ ) ARABIC LETTER DOTLESS BEH, ARABIC TONE TWO DOTS ABOVE, ARABIC TONE TWO DOTS ABOVE ~ ARABIC LETTER TEHEH

066E 08EE 08EA ;	0754	# ( ‎ٮ࣮࣪‎ ~ ‎ݔ‎ ) ARABIC LETTER DOTLESS BEH, ARABIC TONE TWO DOTS BELOW, ARABIC TONE ONE DOT ABOVE ~ ARABIC LETTER BEH WITH TWO DOTS BELOW AND DOT ABOVE

066E 08EE 08ED ;	067E	# ( ‎ٮ࣮࣭‎ ~ ‎پ‎ ) ARABIC LETTER DOTLESS BEH, ARABIC TONE TWO DOTS BELOW, ARABIC TONE ONE DOT BELOW ~ ARABIC LETTER PEH

066E 08EE 08EE ;	0680	# ( ‎ٮ࣮࣮‎ ~ ‎ڀ‎ ) ARABIC LETTER DOTLESS BEH, ARABIC TONE TWO DOTS BELOW, ARABIC TONE TWO DOTS BELOW ~ ARABIC LETTER BEHEH

066E 20E8 ;	0750	# ( ‎ٮ⃨‎ ~ ‎ݐ‎ ) ARABIC LETTER DOTLESS BEH, COMBINING TRIPLE UNDERDOT ~ ARABIC LETTER BEH WITH THREE DOTS HORIZONTALLY BELOW

066F 06DB ;	06A8	# ( ‎ٯۛ‎ ~ ‎ڨ‎ ) ARABIC LETTER DOTLESS QAF, ARABIC SMALL HIGH THREE DOTS ~ ARABIC LETTER QAF WITH THREE DOTS ABOVE

066F 06EC ;	06A7	# ( ‎ٯ۬‎ ~ ‎ڧ‎ ) ARABIC LETTER DOTLESS QAF, ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE ~ ARABIC LETTER QAF WITH DOT ABOVE

066F 08EB ;	0642	# ( ‎ٯ࣫‎ ~ ‎ق‎ ) ARABIC LETTER DOTLESS QAF, ARABIC TONE TWO DOTS ABOVE ~ ARABIC LETTER QAF

0670 ;	030D	# ( ٰ ~ ̍ ) ARABIC LETTER SUPERSCRIPT ALEF ~ COMBINING VERTICAL LINE ABOVE

0674 0627 ;	0675	# ( ‎ٴا‎ ~ ‎ٵ‎ ) ARABIC LETTER HIGH HAMZA, ARABIC LETTER ALEF ~ ARABIC LETTER HIGH HAMZA ALEF

0674 0648 ;	0676	# ( ‎ٴو‎ ~ ‎ٶ‎ ) ARABIC LETTER HIGH HAMZA, ARABIC LETTER WAW ~ ARABIC LETTER HIGH HAMZA WAW

0674 0649 ;	0678	# ( ‎ٴى‎ ~ ‎ٸ‎ ) ARABIC LETTER HIGH HAMZA, ARABIC LETTER ALEF MAKSURA ~ ARABIC LETTER HIGH HAMZA YEH

0674 06C7 ;	0677	# ( ‎ٴۇ‎ ~ ‎ٷ‎ ) ARABIC LETTER HIGH HAMZA, ARABIC LETTER U ~ ARABIC LETTER U WITH HAMZA ABOVE

0676 064F ;	0677	# ( ‎ٶُ‎ ~ ‎ٷ‎ ) ARABIC LETTER HIGH HAMZA WAW, ARABIC DAMMA ~ ARABIC LETTER U WITH HAMZA ABOVE

0679 ;	06BB	# ( ‎ٹ‎ ~ ‎ڻ‎ ) ARABIC LETTER TTEH ~ ARABIC LETTER RNOON

067B ;	06D0	# ( ‎ٻ‎ ~ ‎ې‎ ) ARABIC LETTER BEEH ~ ARABIC LETTER E

067E ;	06BD	# ( ‎پ‎ ~ ‎ڽ‎ ) ARABIC LETTER PEH ~ ARABIC LETTER NOON WITH THREE DOTS ABOVE
067E ;	06D1	# ( ‎پ‎ ~ ‎ۑ‎ ) ARABIC LETTER PEH ~ ARABIC LETTER YEH WITH THREE DOTS BELOW

0686 06EC ;	06BF	# ( ‎چ۬‎ ~ ‎ڿ‎ ) ARABIC LETTER TCHEH, ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE ~ ARABIC LETTER TCHEH WITH DOT ABOVE

068A 0615 ;	068B	# ( ‎ڊؕ‎ ~ ‎ڋ‎ ) ARABIC LETTER DAL WITH DOT BELOW, ARABIC SMALL HIGH TAH ~ ARABIC LETTER DAL WITH DOT BELOW AND SMALL TAH

068B 065C ;	0759	# ( ‎ڋٜ‎ ~ ‎ݙ‎ ) ARABIC LETTER DAL WITH DOT BELOW AND SMALL TAH, ARABIC VOWEL SIGN DOT BELOW ~ ARABIC LETTER DAL WITH TWO DOTS VERTICALLY BELOW AND SMALL TAH

0697 0615 ;	0771	# ( ‎ڗؕ‎ ~ ‎ݱ‎ ) ARABIC LETTER REH WITH TWO DOTS ABOVE, ARABIC SMALL HIGH TAH ~ ARABIC LETTER REH WITH SMALL ARABIC LETTER TAH AND TWO DOTS

069B 06DB ;	069C	# ( ‎ڛۛ‎ ~ ‎ڜ‎ ) ARABIC LETTER SEEN WITH THREE DOTS BELOW, ARABIC SMALL HIGH THREE DOTS ~ ARABIC LETTER SEEN WITH THREE DOTS BELOW AND THREE DOTS ABOVE

06A1 ;	066F	# ( ‎ڡ‎ ~ ‎ٯ‎ ) ARABIC LETTER DOTLESS FEH ~ ARABIC LETTER DOTLESS QAF

06A1 065C ;	06A2	# ( ‎ڡٜ‎ ~ ‎ڢ‎ ) ARABIC LETTER DOTLESS FEH, ARABIC VOWEL SIGN DOT BELOW ~ ARABIC LETTER FEH WITH DOT MOVED BELOW

06A1 06DB ;	06A4	# ( ‎ڡۛ‎ ~ ‎ڤ‎ ) ARABIC LETTER DOTLESS FEH, ARABIC SMALL HIGH THREE DOTS ~ ARABIC LETTER VEH

06A1 06EC ;	0641	# ( ‎ڡ۬‎ ~ ‎ف‎ ) ARABIC LETTER DOTLESS FEH, ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE ~ ARABIC LETTER FEH

06A1 08EB 08EB ;	06A6	# ( ‎ڡ࣫࣫‎ ~ ‎ڦ‎ ) ARABIC LETTER DOTLESS FEH, ARABIC TONE TWO DOTS ABOVE, ARABIC TONE TWO DOTS ABOVE ~ ARABIC LETTER PEHEH

06A1 08EE ;	0760	# ( ‎ڡ࣮‎ ~ ‎ݠ‎ ) ARABIC LETTER DOTLESS FEH, ARABIC TONE TWO DOTS BELOW ~ ARABIC LETTER FEH WITH TWO DOTS BELOW

