U+130FE	;	𓃾	;	head of ox
U+130FF	;	𓃿	;	head of bovine
U+13100	;	𓄀	;	head of charging ox
U+13101	;	𓄁	;	head of hippopotamus
U+13102	;	𓄂	;	forepart of lion
U+13103	;	𓄃	;	head of bubalis or hartebeest
U+13104	;	𓄄	;	forepart of bubalis or hartebeest
U+13105	;	𓄅	;	head of ram
U+13106	;	𓄆	;	forepart of ram
U+13107	;	𓄇	;	head of leopard
U+13108	;	𓄈	;	head and neck of animal
U+13109	;	𓄉	;	head and neck of animal 2
U+1310A	;	𓄊	;	head and neck of canine
U+1310B	;	𓄋	;	horns
U+1310C	;	𓄌	;	horns (low)
U+1310D	;	𓄍	;	combination of {horns} and {palm branch}
U+1310E	;	𓄎	;	combination of {combination of {horns} and {palm branch}} and {sun}
U+1310F	;	𓄏	;	horn
U+13110	;	𓄐	;	combination of {horn} with vase from which water flows
U+13111	;	𓄑	;	tusk
U+13112	;	𓄒	;	lower jaw-bone of ox
U+13113	;	𓄓	;	tongue
U+13114	;	𓄔	;	ear of bovine
U+13115	;	𓄕	;	hieratic ear of bovine
U+13116	;	𓄖	;	hind-quarters of lion
U+13117	;	𓄗	;	foreleg of ox
U+13118	;	𓄘	;	{foreleg of ox} reversed
U+13119	;	𓄙	;	leg of ox
U+1311A	;	𓄚	;	skin of goat
U+1311B	;	𓄛	;	skin of cow with bent tail
U+1311C	;	𓄜	;	skin of cow with straight tail
U+1311D	;	𓄝	;	cow's skin pierced by arrow
U+1311E	;	𓄞	;	water-skin
U+1311F	;	𓄟	;	three skins tied together
U+13120	;	𓄠	;	three skins tied together (simplified)
U+13121	;	𓄡	;	animal's belly
U+13122	;	𓄢	;	tail
U+13123	;	𓄣	;	heart
U+13124	;	𓄤	;	heart and windpipe
U+13125	;	𓄥	;	lung and windpipe
U+13126	;	𓄦	;	backbone and ribs and spinal cord
U+13127	;	𓄧	;	backbone and ribs
U+13128	;	𓄨	;	backbone and ribs 2
U+13129	;	𓄩	;	backbone and ribs and spinal cord 2
U+1312A	;	𓄪	;	backbone and spinal cord
U+1312B	;	𓄫	;	backbone and spinal cords
U+1312C	;	𓄬	;	vertebrae
U+1312D	;	𓄭	;	rib
U+1312E	;	𓄮	;	ribs
U+1312F	;	𓄯	;	leg-bone with meat
U+13130	;	𓄰	;	uterus
U+13131	;	𓄱	;	uterus (simplified)
U+13132	;	𓄲	;	intestine
U+13133	;	𓄳	;	intestine 2
U+13134	;	𓄴	;	intestine 3
U+13135	;	𓄵	;	intestine 4
U+13136	;	𓄶	;	intestine 5
U+13137	;	𓄷	;	intestine 6
U+13138	;	𓄸	;	combination of {intestine} and {folded cloth}
U+13139	;	𓄹	;	piece of flesh
U+1313A	;	𓄺	;	three pieces of flesh horizontally
U+1313B	;	𓄻	;	three pieces of flesh vertically
U+1313C	;	𓄼	;	{piece of flesh} reversed
U+1313D	;	𓄽	;	excrement
U+1313E	;	𓄾	;	divine rod with {head of ram}
U+1313F	;	𓄿	;	Egyptian vulture
U+13140	;	𓅀	;	two Egyptian vultures
U+13141	;	𓅁	;	combination of {Egyptian vulture} and {sickle}
U+13142	;	𓅂	;	buzzard
U+13143	;	𓅃	;	falcon
U+13144	;	𓅄	;	combination of {falcon} and {flagellum}
U+13145	;	𓅅	;	falcon on {basket}
U+13146	;	𓅆	;	falcon on {standard}
U+13147	;	𓅇	;	falcon in boat
U+13148	;	𓅈	;	falcon in boat 2
U+13149	;	𓅉	;	falcon on {collar of beads}
U+1314A	;	𓅊	;	falcon with {sun} on head
U+1314B	;	𓅋	;	falcon in Sokar barque
U+1314C	;	𓅌	;	image of falcon
U+1314D	;	𓅍	;	image of falcon on {standard}
U+1314E	;	𓅎	;	combination of {image of falcon} and {flagellum}
U+1314F	;	𓅏	;	image of falcon with {two plumes}
U+13150	;	𓅐	;	vulture
U+13151	;	𓅑	;	combination of {vulture} and {flagellum}
U+13152	;	𓅒	;	vulture and cobra each on {basket}
U+13153	;	𓅓	;	owl
U+13154	;	𓅔	;	two owls
U+13155	;	𓅕	;	combination of {owl} and {forearm with {conical loaf}}
U+13156	;	𓅖	;	combination of {owl} and {forearm}
U+13157	;	𓅗	;	combination of {owl} and {mouth}
U+13158	;	𓅘	;	guinea-fowl
U+13159	;	𓅙	;	hoopoe
U+1315A	;	𓅚	;	lawping
U+1315B	;	𓅛	;	lawping with twisted wings
U+1315C	;	𓅜	;	northern bald ibis
U+1315D	;	𓅝	;	sacred ibis on {standard}
U+1315E	;	𓅞	;	sacred ibis
U+1315F	;	𓅟	;	flamingo
U+13160	;	𓅠	;	glossy ibis
U+13161	;	𓅡	;	saddle-billed stork
U+13162	;	𓅢	;	three saddle-billed storks
U+13163	;	𓅣	;	heron
U+13164	;	𓅤	;	heron on perch
U+13165	;	𓅥	;	cattle egret
U+13166	;	𓅦	;	ostrich
U+13167	;	𓅧	;	cormorant
U+13168	;	𓅨	;	swallow
U+13169	;	𓅩	;	swallow (low)
U+1316A	;	𓅪	;	sparrow
U+1316B	;	𓅫	;	sparrow (low)
U+1316C	;	𓅬	;	white-fronted goose
U+1316D	;	𓅭	;	pintail
U+1316E	;	𓅮	;	pintail flying
U+1316F	;	𓅯	;	pintail alighting
U+13170	;	𓅰	;	widgeon
U+13171	;	𓅱	;	quail chick
U+13172	;	𓅲	;	combination of {quail chick} and {flat loaf}
U+13173	;	𓅳	;	two quail chicks
U+13174	;	𓅴	;	combination of {quail chick} and {forearm}
U+13175	;	𓅵	;	combination of {quail chick} and {forearm with {conical loaf}}
U+13176	;	𓅶	;	combination of {quail chick} and {sickle}
U+13177	;	𓅷	;	duckling
U+13178	;	𓅸	;	three ducklings in nest
U+13179	;	𓅹	;	three ducklings in pool
U+1317A	;	𓅺	;	two plovers
U+1317B	;	𓅻	;	bird pecking at fish
U+1317C	;	𓅼	;	goose picking up grain
U+1317D	;	𓅽	;	human-headed bird with {bowl with smoke}
U+1317E	;	𓅾	;	plucked bird
U+1317F	;	𓅿	;	head of pintail
U+13180	;	𓆀	;	head of crested bird
U+13181	;	𓆁	;	head of spoonbill
U+13182	;	𓆂	;	head of vulture
U+13183	;	𓆃	;	wing
U+13184	;	𓆄	;	feather
U+13185	;	𓆅	;	hieratic feather
U+13186	;	𓆆	;	claw
U+13187	;	𓆇	;	egg
U+13188	;	𓆈	;	gecko
U+13189	;	𓆉	;	turtle
U+1318A	;	𓆊	;	crocodile
U+1318B	;	𓆋	;	crocodile on shrine
U+1318C	;	𓆌	;	crocodile with curved tail
U+1318D	;	𓆍	;	image of crocodile
U+1318E	;	𓆎	;	crocodile scales
U+1318F	;	𓆏	;	frog
U+13190	;	𓆐	;	tadpole
U+13191	;	𓆑	;	horned viper
U+13192	;	𓆒	;	horned viper crawling out of enclosure
U+13193	;	𓆓	;	cobra
U+13194	;	𓆔	;	cobra with feather
U+13195	;	𓆕	;	two cobras
U+13196	;	𓆖	;	combination of {cobra}, {flat loaf} and {sandy tract}
U+13197	;	𓆗	;	erect cobra
U+13198	;	𓆘	;	erect cobra on {basket}
U+13199	;	𓆙	;	snake
U+1319A	;	𓆚	;	snake 2
U+1319B	;	𓆛	;	tilapia
U+1319C	;	𓆜	;	barbel
U+1319D	;	𓆝	;	mullet
U+1319E	;	𓆞	;	elephant-snout fish
U+1319F	;	𓆟	;	Petrocephalus bane
U+131A0	;	𓆠	;	fish scale
U+131A1	;	𓆡	;	puffer
U+131A2	;	𓆢	;	catfish
U+131A3	;	𓆣	;	dung beetle
U+131A4	;	𓆤	;	bee
U+131A5	;	𓆥	;	combination of {sedge}, {bee} and two {flat loaf}
U+131A6	;	𓆦	;	fly
U+131A7	;	𓆧	;	locust
U+131A8	;	𓆨	;	centipede
U+131A9	;	𓆩	;	shell
U+131AA	;	𓆪	;	{shell} reversed
U+131AB	;	𓆫	;	scorpion
U+131AC	;	𓆬	;	unknown 2
U+131AD	;	𓆭	;	tree
U+131AE	;	𓆮	;	combination of {tree} and {branch}
U+131AF	;	𓆯	;	combination of {tree} and {horned viper}
U+131B0	;	𓆰	;	plant
U+131B1	;	𓆱	;	branch
U+131B2	;	𓆲	;	combination of {owl} and {branch}
U+131B3	;	𓆳	;	palm branch
U+131B4	;	𓆴	;	combination of {palm branch} and {flat loaf}
U+131B5	;	𓆵	;	combination of {palm branch} and {mouth}
U+131B6	;	𓆶	;	combination of {palm branch} and {stool}
U+131B7	;	𓆷	;	pool with lotus flowers
U+131B8	;	𓆸	;	lotus flower
U+131B9	;	𓆹	;	lotus bud with straight stem
U+131BA	;	𓆺	;	lotus bud with winding stem
U+131BB	;	𓆻	;	flower on long twisted stalk
U+131BC	;	𓆼	;	lotus plant
U+131BD	;	𓆽	;	2 lotus plants
U+131BE	;	𓆾	;	3 lotus plants
U+131BF	;	𓆿	;	4 lotus plants
U+131C0	;	𓇀	;	5 lotus plants
U+131C1	;	𓇁	;	6 lotus plants
U+131C2	;	𓇂	;	7 lotus plants
U+131C3	;	𓇃	;	8 lotus plants
U+131C4	;	𓇄	;	9 lotus plants
U+131C5	;	𓇅	;	papyrus
U+131C6	;	𓇆	;	combination of {papyrus} and {cobra}
U+131C7	;	𓇇	;	clump of papyrus with buds
U+131C8	;	𓇈	;	combination of {clump of papyrus with buds} and {village}
U+131C9	;	𓇉	;	clump of papyrus
U+131CA	;	𓇊	;	combination of {clump of papyrus} and {village}
U+131CB	;	𓇋	;	reed
U+131CC	;	𓇌	;	two reeds
